first_name,id,total_publications,research_orgs,last_name,orcid_id,full_name,url
Michael,ur.013346063014.55,10,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Ungers,,Michael Ungers,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.013346063014.55
Jian,ur.01120276067.44,9,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Zhang,,Jian Zhang,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01120276067.44
Torsten,ur.014715171656.69,9,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}]",Hermanns,,Torsten Hermanns,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.014715171656.69
Henrich,ur.016554526403.01,9,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Schleifenbaum,,Henrich Schleifenbaum,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.016554526403.01
Kilian,ur.013033155103.44,9,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Klages,,Kilian Klages,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.013033155103.44
Uwe-Klaus,ur.07577566067.13,9,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Jarosch,,Uwe-Klaus Jarosch,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.07577566067.13
D,ur.010416201573.91,8,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Maischner,,D Maischner,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.010416201573.91
Silja-Katharina,ur.014352040327.36,8,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}]",Rittinghaus,,Silja-Katharina Rittinghaus,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.014352040327.36
Otto,ur.07521102163.11,8,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Märten,,Otto Märten,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.07521102163.11
Thomas,ur.07406046417.71,8,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Schopphoven,,Thomas Schopphoven,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.07406046417.71
Elke,ur.01132756425.14,8,"[{'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}, {'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Bremus-Köbberling,,Elke Bremus-Köbberling,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01132756425.14
Ulrich-Andreas,ur.014710406437.68,8,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Russek,,Ulrich-Andreas Russek,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.014710406437.68
Damien,ur.013102156465.57,8,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}]",Buchbinder,,Damien Buchbinder,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.013102156465.57
Florian,ur.011570235431.39,8,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Elsen,,Florian Elsen,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.011570235431.39
Franz,ur.011476152152.88,8,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Richter,,Franz Richter,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.011476152152.88
Oliver,ur.013020412367.50,8,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}]",Franken,,Oliver Franken,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.013020412367.50
Michael J,ur.014711402171.09,7,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Wild,,Michael J Wild,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.014711402171.09
