,FOR,assignee_names,assignees,filing_status,granted_year,id,inventor_names,publication_date,publication_ids,times_cited,title,year
109,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","['BOE Technology Group Co Ltd', 'LI MINGCHAO', 'YOU JAEGEON', 'BOE TECHNOLOGY GROUP CO LTD']","[{'id': 'grid.471141.6', 'acronym': 'BOE', 'name': 'BOE Technology Group (China)', 'country_name': 'China'}]",Grant,2016.0,US-9310659-B2,"['Mingchao LI', 'Jaegeon YOU']",2016-04-12,['pub.1065228255'],0,"Colorful liquid crystal thin film, method of manufacturing thereof and display device",2012
110,"[{'id': '2409', 'name': '0205 Optical Physics'}]","['Pacific Biosciences of California Inc', 'PACIFIC BIOSCIENCES CALIFORNIA']","[{'id': 'grid.423340.2', 'name': 'Pacific Biosciences (United States)', 'country_name': 'United States'}]",Grant,2014.0,US-8867038-B2,"['Nathaniel Joseph McCaffrey', 'Stephen Turner', 'Ravi Saxena', 'Scott Edward Helgesen']",2014-10-21,"['pub.1042156657', 'pub.1052968563', 'pub.1005811946', 'pub.1054697975', 'pub.1055076574', 'pub.1061302199', 'pub.1020827190', 'pub.1021160342', 'pub.1015248265', 'pub.1065192290', 'pub.1065219870']",7,Integrated analytical system and method,2013
111,"[{'id': '2837', 'name': '0903 Biomedical Engineering'}]","['Pacific Biosciences of California Inc', 'FEHR ADRIAN', 'MCCAFFREY NATHANIEL JOSEPH', 'TURNER STEPHEN', 'PACIFIC BIOSCIENCES CALIFORNIA']","[{'id': 'grid.423340.2', 'name': 'Pacific Biosciences (United States)', 'country_name': 'United States'}]",Application,,US-20120014837-A1,"['Adrian Fehr', 'Nathaniel Joseph McCaffrey', 'Stephen Turner']",2012-01-19,"['pub.1014567487', 'pub.1065192290']",81,ILLUMINATION OF INTEGRATED ANALYTICAL SYSTEMS,2011
112,"[{'id': '2844', 'name': '0904 Chemical Engineering'}]","['Penn State Research Foundation', 'PENN STATE RES FOUND']","[{'id': 'grid.29857.31', 'acronym': 'PSU', 'name': 'Pennsylvania State University', 'country_name': 'United States'}]",Application,,US-20150000377-A1,"['Ali Qajar', 'Ramakrishnan Rajagopalan', 'Henry C. Foley']",2015-01-01,['pub.1051777357'],1,Process for Characterization of Micro and Meso Porous Materials,2014
113,"[{'id': '3197', 'name': '1199 Other Medical and Health Sciences'}]","['Devlin Dan', 'DEVLIN DAN', 'EATON KEVIN P']",,Application,,US-20160199397-A1,['Kevin P. Eaton'],2016-07-14,"['pub.1043387004', 'pub.1023155534']",0,Treatment of Dermatological Conditions,2016
114,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","['East China University of Science and Technology', 'Empire Technology Development LLC', 'ZHENG ZHIGANG', 'EMPIRE TECHNOLOGY DEV LLC']","[{'id': 'grid.480111.d', 'name': 'ConvergeOne (United States)', 'country_name': 'United States'}, {'id': 'grid.28056.39', 'acronym': 'ECUST', 'name': 'East China University of Science and Technology', 'country_name': 'China'}, {'id': 'grid.254444.7', 'acronym': 'WSU', 'name': 'Wayne State University', 'country_name': 'United States'}]",Grant,2013.0,US-8518499-B2,['Zhigang Zheng'],2013-08-27,"['pub.1011695268', 'pub.1049310924', 'pub.1009625418', 'pub.1040117730', 'pub.1055584362', 'pub.1050563315', 'pub.1055836470', 'pub.1007231918', 'pub.1056051879', 'pub.1056056530', 'pub.1056122316', 'pub.1056123770', 'pub.1056191782', 'pub.1020499066', 'pub.1047995168', 'pub.1050469865', 'pub.1023456343', 'pub.1001779782', 'pub.1044977969', 'pub.1057942595', 'pub.1021436967', 'pub.1065185821', 'pub.1065192309']",0,Liquid crystal blue phase,2012
115,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","['Guardian Glass LLC', 'GUARDIAN INDUSTRIES']","[{'id': 'grid.471206.6', 'name': 'Guardian Industries (United States)', 'country_name': 'United States'}]",Grant,2016.0,US-9469767-B2,"['Jean-Marc Lemmer', 'Nestor P. Murphy']",2016-10-18,['pub.1014063041'],3,Articles including anticondensation coatings and/or methods of making the same,2015
116,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","['Guardian Glass LLC', 'GUARDIAN INDUSTRIES']","[{'id': 'grid.471206.6', 'name': 'Guardian Industries (United States)', 'country_name': 'United States'}]",Grant,2017.0,US-9695085-B2,"['Jean-Marc Lemmer', 'Nestor P. Murphy']",2017-07-04,['pub.1014063041'],2,Articles including anticondensation coatings and/or methods of making the same,2016
117,"[{'id': '3158', 'name': '1114 Paediatrics and Reproductive Medicine'}]","['Inguran LLC', 'LENZ RICHARD', 'MORENO JUAN', 'VISHWANATH RAMAKRISHNAN', 'INGURAN LLC']",,Grant,2016.0,US-9347038-B2,"['Richard Lenz', 'Juan Moreno', 'Ramakrishnan Vishwanath']",2016-05-24,"['pub.1019072393', 'pub.1027777405', 'pub.1048283032', 'pub.1044050267', 'pub.1021091578', 'pub.1016801984', 'pub.1043387004', 'pub.1033999507', 'pub.1015630049', 'pub.1053604938', 'pub.1024254604', 'pub.1002524726', 'pub.1052429300', 'pub.1056439621', 'pub.1007191937', 'pub.1051621630', 'pub.1020502769', 'pub.1061930644', 'pub.1024460385', 'pub.1044946218', 'pub.1026875362', 'pub.1027814483', 'pub.1053665370', 'pub.1069160585', 'pub.1070881837', 'pub.1070887439', 'pub.1086090606', 'pub.1081267524', 'pub.1086089411', 'pub.1021704233', 'pub.1048888267', 'pub.1073144019']",3,Compositions and methods for processing sperm,2012
118,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","['Guardian Glass LLC', 'GUARDIAN INDUSTRIES']","[{'id': 'grid.471206.6', 'name': 'Guardian Industries (United States)', 'country_name': 'United States'}]",Grant,2017.0,US-9670092-B2,"['Jean-Marc Lemmer', 'Nestor P. Murphy', 'David D. McLean', 'Richard Blacker']",2017-06-06,"['pub.1014063041', 'pub.1058006110']",3,Articles including anticondensation and/or low-E coatings and/or methods of making the same,2015
