,FOR,assignee_names,assignees,filing_status,granted_year,id,inventor_names,publication_date,publication_ids,times_cited,title,year
47,"[{'id': '2471', 'name': '0306 Physical Chemistry (incl. Structural)'}, {'id': '2921', 'name': '0912 Materials Engineering'}]","['Printed Energy Pty Ltd', 'PRINTED ENERGY PTY LTD']",,Grant,2017.0,US-9786926-B2,"['Vera Lockett', 'John Gustafson', 'William Johnstone Ray', 'Yasser Salah']",2017-10-10,"['pub.1020731541', 'pub.1008161988', 'pub.1003858514', 'pub.1025863612', 'pub.1029508292', 'pub.1001754622', 'pub.1037445829', 'pub.1030358193', 'pub.1046336621', 'pub.1055417295', 'pub.1027619217', 'pub.1056164527', 'pub.1056165846', 'pub.1038831173', 'pub.1021715973', 'pub.1028873915', 'pub.1048637740', 'pub.1046929393', 'pub.1042798557', 'pub.1004111690', 'pub.1046195746', 'pub.1030205695', 'pub.1020853571', 'pub.1017681842', 'pub.1018885888']",2,Printed silver oxide batteries,2014
48,"[{'id': '2844', 'name': '0904 Chemical Engineering'}]","['Lockheed Martin Corp', 'LOCKHEED CORP']","[{'id': 'grid.419474.b', 'name': 'Lockheed Martin (United States)', 'country_name': 'United States'}]",Grant,2018.0,US-10005038-B2,"['John B. Stetson, Jr.', 'SARAH SIMON', 'Jacob L. SWETT']",2018-06-26,"['pub.1031087420', 'pub.1035364137', 'pub.1025703070', 'pub.1050567876', 'pub.1041803746', 'pub.1031470649', 'pub.1016209803', 'pub.1052164388', 'pub.1053675998', 'pub.1036981948', 'pub.1028161584', 'pub.1003761216', 'pub.1039606181', 'pub.1030312001', 'pub.1007642576', 'pub.1007875866', 'pub.1009481904', 'pub.1045935219', 'pub.1045837673', 'pub.1011610705', 'pub.1034970745', 'pub.1024866690', 'pub.1014883703', 'pub.1034314539', 'pub.1021216887', 'pub.1047857982', 'pub.1006598959', 'pub.1006708116', 'pub.1015593494', 'pub.1027046478', 'pub.1026138863', 'pub.1005005774', 'pub.1000228056', 'pub.1000357891', 'pub.1021189278', 'pub.1045674129', 'pub.1037846478', 'pub.1012630180', 'pub.1041303771', 'pub.1037290083', 'pub.1031835818', 'pub.1012628344', 'pub.1033098254', 'pub.1054930872', 'pub.1050403656', 'pub.1004010978', 'pub.1022830330', 'pub.1055505600', 'pub.1024849574', 'pub.1023726126', 'pub.1055858704', 'pub.1023983475', 'pub.1003988826', 'pub.1055881480', 'pub.1056051743', 'pub.1009323656', 'pub.1056133362', 'pub.1056134310', 'pub.1009356162', 'pub.1056217886', 'pub.1025279814', 'pub.1056219352', 'pub.1044248579', 'pub.1056220503', 'pub.1010143245', 'pub.1039557279', 'pub.1056222239', 'pub.1056223687', 'pub.1012952822', 'pub.1029888269', 'pub.1038090434', 'pub.1027425164', 'pub.1010516877', 'pub.1056225807', 'pub.1014928846', 'pub.1050119463', 'pub.1022328266', 'pub.1005102686', 'pub.1010193210', 'pub.1027545976', 'pub.1012938533', 'pub.1017091881', 'pub.1020182975', 'pub.1027774672', 'pub.1018571469', 'pub.1034833661', 'pub.1013328690', 'pub.1057714000', 'pub.1058071066', 'pub.1019576041', 'pub.1000931246', 'pub.1022279521', 'pub.1011872364', 'pub.1025369544', 'pub.1018027329', 'pub.1010446725', 'pub.1019671910', 'pub.1062465547', 'pub.1005785785', 'pub.1047925440', 'pub.1017668642', 'pub.1042285060', 'pub.1003288932', 'pub.1032082159', 'pub.1045558382', 'pub.1003512145', 'pub.1007723096', 'pub.1039011967', 'pub.1002038181', 'pub.1032468643', 'pub.1050875693', 'pub.1070916356', 'pub.1007151380', 'pub.1071073999', 'pub.1025295338', 'pub.1015131388', 'pub.1029995734', 'pub.1072833595', 'pub.1039446065', 'pub.1000528314', 'pub.1077680510']",0,Hemodialysis and hemofiltration membranes based upon a two-dimensional membrane material and methods employing same,2015
49,"[{'id': '3021', 'name': '1007 Nanotechnology'}]","['Lockheed Martin Corp', 'LOCKHEED CORP']","[{'id': 'grid.419474.b', 'name': 'Lockheed Martin (United States)', 'country_name': 'United States'}]",Grant,2018.0,US-10017852-B2,"['Scott E. Heise', 'Peter V. Bedworth', 'Jacob L. SWETT', 'Steven W. Sinton']",2018-07-10,"['pub.1031087420', 'pub.1035364137', 'pub.1025703070', 'pub.1050567876', 'pub.1041803746', 'pub.1031470649', 'pub.1016209803', 'pub.1052164388', 'pub.1053675998', 'pub.1036981948', 'pub.1028161584', 'pub.1003761216', 'pub.1039606181', 'pub.1030312001', 'pub.1007642576', 'pub.1007875866', 'pub.1009481904', 'pub.1045935219', 'pub.1045837673', 'pub.1011610705', 'pub.1034970745', 'pub.1024866690', 'pub.1014883703', 'pub.1034314539', 'pub.1021216887', 'pub.1047857982', 'pub.1006598959', 'pub.1006708116', 'pub.1015593494', 'pub.1027046478', 'pub.1026138863', 'pub.1005005774', 'pub.1000228056', 'pub.1000357891', 'pub.1021189278', 'pub.1045674129', 'pub.1037846478', 'pub.1012630180', 'pub.1041303771', 'pub.1037290083', 'pub.1031835818', 'pub.1012628344', 'pub.1033098254', 'pub.1054930872', 'pub.1050403656', 'pub.1004010978', 'pub.1022830330', 'pub.1055505600', 'pub.1024849574', 'pub.1023726126', 'pub.1055858704', 'pub.1023983475', 'pub.1003988826', 'pub.1055881480', 'pub.1056051743', 'pub.1009323656', 'pub.1056133362', 'pub.1056134310', 'pub.1009356162', 'pub.1056217886', 'pub.1025279814', 'pub.1056219352', 'pub.1044248579', 'pub.1056220503', 'pub.1010143245', 'pub.1039557279', 'pub.1056222239', 'pub.1056223687', 'pub.1012952822', 'pub.1029888269', 'pub.1038090434', 'pub.1027425164', 'pub.1010516877', 'pub.1056225807', 'pub.1014928846', 'pub.1050119463', 'pub.1022328266', 'pub.1005102686', 'pub.1010193210', 'pub.1027545976', 'pub.1012938533', 'pub.1017091881', 'pub.1020182975', 'pub.1027774672', 'pub.1018571469', 'pub.1034833661', 'pub.1013328690', 'pub.1057714000', 'pub.1058071066', 'pub.1019576041', 'pub.1000931246', 'pub.1022279521', 'pub.1011872364', 'pub.1025369544', 'pub.1018027329', 'pub.1010446725', 'pub.1019671910', 'pub.1062465547', 'pub.1005785785', 'pub.1047925440', 'pub.1017668642', 'pub.1042285060', 'pub.1003288932', 'pub.1032082159', 'pub.1045558382', 'pub.1003512145', 'pub.1007723096', 'pub.1039011967', 'pub.1002038181', 'pub.1032468643', 'pub.1050875693', 'pub.1070916356', 'pub.1007151380', 'pub.1071073999', 'pub.1025295338', 'pub.1015131388', 'pub.1029995734', 'pub.1072833595', 'pub.1039446065', 'pub.1000528314', 'pub.1077680510']",2,Method for treating graphene sheets for large-scale transfer using free-float method,2016
50,"[{'id': '3021', 'name': '1007 Nanotechnology'}, {'id': '2921', 'name': '0912 Materials Engineering'}]","['Printed Energy Pty Ltd', 'PRINTED ENERGY PTY LTD']",,Grant,2018.0,US-9917309-B2,"['Vera N. Lockett', 'Leila Daneshi', 'William J. Ray', 'John G. Gustafson']",2018-03-13,"['pub.1020731541', 'pub.1008161988', 'pub.1003858514', 'pub.1029508292', 'pub.1001754622', 'pub.1037445829', 'pub.1030358193', 'pub.1046336621', 'pub.1055417295', 'pub.1027619217', 'pub.1056164527', 'pub.1056165846', 'pub.1038831173', 'pub.1021715973', 'pub.1028873915', 'pub.1048637740', 'pub.1046929393', 'pub.1042798557', 'pub.1004111690', 'pub.1046195746', 'pub.1030205695', 'pub.1020853571', 'pub.1017681842', 'pub.1018885888']",2,Printed energy storage device,2016
51,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","['Northwestern University', 'UNIV NORTHWESTERN']","[{'id': 'grid.16753.36', 'acronym': 'NU', 'name': 'Northwestern University', 'country_name': 'United States'}]",Grant,2016.0,US-9393550-B2,"['Yu Teng Liang', 'Baiju K. Vijayan', 'Kimberly A. Gray', 'Mark C. Hersam']",2016-07-19,"['pub.1023419712', 'pub.1002055950', 'pub.1044536918', 'pub.1003485683', 'pub.1053980654', 'pub.1055514731', 'pub.1037522482', 'pub.1041406705', 'pub.1055860239', 'pub.1043237018', 'pub.1056051682', 'pub.1056067533', 'pub.1056105034', 'pub.1056116273', 'pub.1056133531', 'pub.1056133769', 'pub.1056134148', 'pub.1005947049', 'pub.1009620702', 'pub.1036454150', 'pub.1040781043', 'pub.1005188828', 'pub.1015257844', 'pub.1037766835', 'pub.1011835651', 'pub.1037641167', 'pub.1038246202', 'pub.1056222523', 'pub.1056222525', 'pub.1006070436', 'pub.1028137222', 'pub.1056223673', 'pub.1045392165', 'pub.1012050322', 'pub.1051150187', 'pub.1011069243', 'pub.1017569831', 'pub.1009697240', 'pub.1012181887', 'pub.1033813823', 'pub.1049512145', 'pub.1028729458', 'pub.1010622889', 'pub.1032209533', 'pub.1027154969', 'pub.1018587379', 'pub.1004643579', 'pub.1002879349', 'pub.1027104261', 'pub.1031761267', 'pub.1051668887', 'pub.1003088113', 'pub.1006274772', 'pub.1062444348', 'pub.1019008412', 'pub.1015876496', 'pub.1062573346']",0,Methods of making non-covalently bonded carbon-titania nanocomposite thin films and applications of the same,2013
52,"[{'id': '2471', 'name': '0306 Physical Chemistry (incl. Structural)'}, {'id': '3021', 'name': '1007 Nanotechnology'}]","['Samsung Electronics Co Ltd', 'SAMSUNG ELECTRONICS CO LTD']","[{'id': 'grid.419666.a', 'name': 'Samsung (South Korea)', 'country_name': 'South Korea'}]",Application,,EP-2626960-A3,"['Igumenov, Igor Konstantinovich', 'Kuchumov, Boris Maksimovich', 'Kuchyanov, Alexander Sergeevich', 'Parkhomenko, Roman Grigorevich', 'Plekhanov, Alexander Ivanovich', 'Trubin, Sergey Vladimirovich', 'Maltseva, Elena Olegovna']",2016-01-27,"['pub.1046467760', 'pub.1025063516', 'pub.1014287162', 'pub.1046585500']",0,"Active laser medium including nanoparticles, laser apparatus including the active laser medium, and method of manufacturing nanoparticles",2013
53,"[{'id': '2456', 'name': '0304 Medicinal and Biomolecular Chemistry'}]",['DAVENPORT LESLEY'],,Grant,2017.0,US-9598719-B2,['Lesley Davenport'],2017-03-21,"['pub.1047875039', 'pub.1005044695', 'pub.1027965716', 'pub.1006441683', 'pub.1055868803', 'pub.1018310226', 'pub.1021715697', 'pub.1019837784', 'pub.1009323209']",0,G-quadruplex binding assays and compounds therefor,2014
54,"[{'id': '2471', 'name': '0306 Physical Chemistry (incl. Structural)'}]","['Centre National de la Recherche Scientifique CNRS', 'Universite Claude Bernard Lyon 1 (UCBL)', 'IFP Energies Nouvelles IFPEN', 'IFP Energies Nouvelles', 'CENTRE NAT RECH SCIENT', 'UNIV CLAUDE BERNARD LYON']","[{'id': 'grid.7849.2', 'acronym': 'UCBL', 'name': 'Claude Bernard University Lyon 1', 'country_name': 'France'}, {'id': 'grid.4444.0', 'acronym': 'CNRS', 'name': 'French National Centre for Scientific Research', 'country_name': 'France'}, {'id': 'grid.13464.34', 'acronym': 'IFP', 'name': 'French Institute of Petroleum', 'country_name': 'France'}]",Application,,FR-2992637-A1,"['FECANT ANTOINE', 'UZIO DENIS', 'LOFFICIAL DINA', 'PUZENAT ERIC', 'BLANCO ELODIE', 'AFANASIEV PAVEL', 'BERHAULT GILLES']",2014-01-03,"['pub.1041406705', 'pub.1055857870', 'pub.1056218841']",0,Photocatalyst composite material based on metal sulfides for the production of 1996,2012
55,"[{'id': '2438', 'name': '0302 Inorganic Chemistry'}]","['IFP Energies Nouvelles', 'CENTRE NAT RECH SCIENT']","[{'id': 'grid.13464.34', 'acronym': 'IFP', 'name': 'French Institute of Petroleum', 'country_name': 'France'}, {'id': 'grid.4444.0', 'acronym': 'CNRS', 'name': 'French National Centre for Scientific Research', 'country_name': 'France'}]",Application,,WO-2014001691-A1,"['FECANT, ANTOINE', 'UZIO, DENIS', 'LOFFICIAL, Dina', 'PUZENAT, ERIC', 'BLANCO, Elodie', 'AFANASIEV, PAVEL', 'BERHAULT, GILLES']",2014-01-03,"['pub.1041406705', 'pub.1055857870', 'pub.1056218841']",2,METAL SULPHIDE-BASED COMPOSITE PHOTOCATALYST FOR PRODUCING HYDROGEN,2013
56,"[{'id': '2837', 'name': '0903 Biomedical Engineering'}]",['WISCONSIN ALUMNI RES FOUND'],"[{'id': 'grid.453773.1', 'acronym': 'WARF', 'name': 'Wisconsin Alumni Research Foundation', 'country_name': 'United States'}]",Application,,WO-2017218635-A2,"['ABBOTT, NICHOLAS', 'KIM, YOUNGKI', 'WANG, XIAOGUANG', 'BUKUSOGLU, Emre']",2017-12-21,"['pub.1030314468', 'pub.1016708652', 'pub.1002305017', 'pub.1001379785', 'pub.1025679697', 'pub.1033256373', 'pub.1012649008', 'pub.1034084463', 'pub.1051846864', 'pub.1008921390', 'pub.1035291981', 'pub.1019350039', 'pub.1055106691', 'pub.1056148249', 'pub.1043866471', 'pub.1015432047', 'pub.1016622853', 'pub.1034632597', 'pub.1050744992', 'pub.1015601292', 'pub.1031651380', 'pub.1053231508', 'pub.1027968318', 'pub.1001857312', 'pub.1018109579', 'pub.1051321285', 'pub.1014496215', 'pub.1010313316', 'pub.1048477836', 'pub.1020310778', 'pub.1008328126', 'pub.1013946876', 'pub.1044906780', 'pub.1035294281', 'pub.1057853764', 'pub.1058068480', 'pub.1000736752', 'pub.1047644251', 'pub.1039321023', 'pub.1006768070', 'pub.1027320763', 'pub.1027743833', 'pub.1007149065', 'pub.1060724035', 'pub.1062453951', 'pub.1045547617', 'pub.1062464991', 'pub.1062556114', 'pub.1049640945', 'pub.1063176556', 'pub.1040195416']",0,ACTIVATED RELEASE OF TARGET MATERIAL TRAPPED IN ANISOTROPIC FLUIDS,2017
57,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","['Northwestern University', 'UNIV NORTHWESTERN']","[{'id': 'grid.16753.36', 'acronym': 'NU', 'name': 'Northwestern University', 'country_name': 'United States'}]",Grant,2016.0,US-9393550-B2,"['Yu Teng Liang', 'Baiju K. Vijayan', 'Kimberly A. Gray', 'Mark C. Hersam']",2016-07-19,"['pub.1023419712', 'pub.1002055950', 'pub.1044536918', 'pub.1003485683', 'pub.1053980654', 'pub.1055514731', 'pub.1037522482', 'pub.1041406705', 'pub.1055860239', 'pub.1043237018', 'pub.1056051682', 'pub.1056067533', 'pub.1056105034', 'pub.1056116273', 'pub.1056133531', 'pub.1056133769', 'pub.1056134148', 'pub.1005947049', 'pub.1009620702', 'pub.1036454150', 'pub.1040781043', 'pub.1005188828', 'pub.1015257844', 'pub.1037766835', 'pub.1011835651', 'pub.1037641167', 'pub.1038246202', 'pub.1056222523', 'pub.1056222525', 'pub.1006070436', 'pub.1028137222', 'pub.1056223673', 'pub.1045392165', 'pub.1012050322', 'pub.1051150187', 'pub.1011069243', 'pub.1017569831', 'pub.1009697240', 'pub.1012181887', 'pub.1033813823', 'pub.1049512145', 'pub.1028729458', 'pub.1010622889', 'pub.1032209533', 'pub.1027154969', 'pub.1018587379', 'pub.1004643579', 'pub.1002879349', 'pub.1027104261', 'pub.1031761267', 'pub.1051668887', 'pub.1003088113', 'pub.1006274772', 'pub.1062444348', 'pub.1019008412', 'pub.1015876496', 'pub.1062573346']",0,Methods of making non-covalently bonded carbon-titania nanocomposite thin films and applications of the same,2013
58,"[{'id': '2790', 'name': '0806 Information Systems'}]","['University of Western Ontario', 'Trudell Medical International', 'UNIV WESTERN ONTARIO', 'TRUDELL MEDICAL INT']","[{'id': 'grid.39381.30', 'acronym': 'UWO', 'name': 'Western University', 'country_name': 'Canada'}, {'id': 'grid.417314.4', 'acronym': 'TMI', 'name': 'Trudell Medical International (Canada)', 'country_name': 'Canada'}]",Grant,2016.0,US-9339441-B2,"['Ruth E. Martin', 'Michael Nuttall', 'Bryan Finlay', 'Julie Theurer', 'Brandon Coultes']",2016-05-17,"['pub.1035799892', 'pub.1041855212', 'pub.1048845086', 'pub.1002678344', 'pub.1046329443', 'pub.1007578031', 'pub.1006585342', 'pub.1028793817', 'pub.1051808776', 'pub.1022847392', 'pub.1009053167', 'pub.1052689535', 'pub.1007527945', 'pub.1021045311', 'pub.1033246737', 'pub.1002372339', 'pub.1015566264', 'pub.1052167100', 'pub.1048212510', 'pub.1039651938', 'pub.1025718217', 'pub.1047388329', 'pub.1025190362', 'pub.1048143673', 'pub.1012557509', 'pub.1017051886', 'pub.1042235044', 'pub.1010735174', 'pub.1019256076', 'pub.1002702563', 'pub.1028488869', 'pub.1015921167', 'pub.1034464382', 'pub.1003744595', 'pub.1008415909', 'pub.1013631994', 'pub.1048477780', 'pub.1008869985', 'pub.1007032332', 'pub.1031167608', 'pub.1019267049', 'pub.1005634350', 'pub.1042146113', 'pub.1039369707', 'pub.1017613335', 'pub.1043686000', 'pub.1023580121', 'pub.1052873580', 'pub.1035897607', 'pub.1013847662', 'pub.1015698295', 'pub.1046939929', 'pub.1049316207', 'pub.1031456590', 'pub.1032481224', 'pub.1010109007', 'pub.1053470780', 'pub.1051746161', 'pub.1024065189', 'pub.1044583821', 'pub.1026143701', 'pub.1044145558', 'pub.1015214585', 'pub.1003065373', 'pub.1019663213', 'pub.1000835783', 'pub.1014951026', 'pub.1016386656', 'pub.1024726961', 'pub.1041035183', 'pub.1050672352', 'pub.1000824251', 'pub.1041405999', 'pub.1005603228', 'pub.1001229616', 'pub.1051863530', 'pub.1052018112', 'pub.1021915896', 'pub.1025105023', 'pub.1045816370', 'pub.1024118481', 'pub.1019955011', 'pub.1041381733', 'pub.1002162481', 'pub.1022242790', 'pub.1034722558', 'pub.1025279897', 'pub.1001441583', 'pub.1028526931', 'pub.1007173318', 'pub.1004957759', 'pub.1010442212', 'pub.1000106218', 'pub.1019422456', 'pub.1023713675', 'pub.1052177233', 'pub.1015291865', 'pub.1024612271', 'pub.1011561226', 'pub.1003788013', 'pub.1042149857', 'pub.1005511413', 'pub.1013143349', 'pub.1008418827', 'pub.1027605621', 'pub.1052214250', 'pub.1014899218', 'pub.1024920976', 'pub.1009667341', 'pub.1052681639', 'pub.1006452165', 'pub.1024761603', 'pub.1006938165', 'pub.1052428681', 'pub.1024130914', 'pub.1041262069', 'pub.1031305936', 'pub.1030066979', 'pub.1004996144', 'pub.1031532334', 'pub.1010179315', 'pub.1036318267', 'pub.1005644897', 'pub.1012441551', 'pub.1025064790', 'pub.1043430168', 'pub.1016219188', 'pub.1001958960', 'pub.1012118581', 'pub.1031603874', 'pub.1014672781', 'pub.1002932142', 'pub.1049359061', 'pub.1033508867', 'pub.1002273174', 'pub.1026665403', 'pub.1038911764', 'pub.1023767829', 'pub.1044079067', 'pub.1022464482', 'pub.1027968214', 'pub.1049398017', 'pub.1033333189', 'pub.1010137029', 'pub.1030082060', 'pub.1029528372', 'pub.1052711964', 'pub.1007969374', 'pub.1025653152', 'pub.1021010475', 'pub.1018370589', 'pub.1023282884', 'pub.1023307820', 'pub.1035380454', 'pub.1030524485', 'pub.1012882650', 'pub.1031224437', 'pub.1015116978', 'pub.1050129485', 'pub.1017503366', 'pub.1035345833', 'pub.1051871004', 'pub.1038953343', 'pub.1052061923', 'pub.1040706977', 'pub.1024182177', 'pub.1049197799', 'pub.1012009543', 'pub.1013389873', 'pub.1034067446', 'pub.1007341553', 'pub.1047257356', 'pub.1013037336', 'pub.1000445785', 'pub.1034243552', 'pub.1044041780', 'pub.1005926732', 'pub.1051320373', 'pub.1054631785', 'pub.1027353216', 'pub.1051300356', 'pub.1051487823', 'pub.1035474913', 'pub.1017883589', 'pub.1043624212', 'pub.1022811307', 'pub.1026894764', 'pub.1015962664', 'pub.1042413422', 'pub.1007001377', 'pub.1000475436', 'pub.1039911167', 'pub.1037664006', 'pub.1030037338', 'pub.1015168191', 'pub.1082278730', 'pub.1046869395', 'pub.1000735292', 'pub.1007151200', 'pub.1050054729', 'pub.1020655420', 'pub.1023652437', 'pub.1026218593', 'pub.1046823809', 'pub.1041232155', 'pub.1017782777', 'pub.1002794231', 'pub.1019612232', 'pub.1038422908', 'pub.1052171292', 'pub.1043091115', 'pub.1004548115', 'pub.1026199964', 'pub.1035942370', 'pub.1016167309', 'pub.1062424819', 'pub.1034814888', 'pub.1007291606', 'pub.1005446251', 'pub.1020513994', 'pub.1063628943', 'pub.1063632084', 'pub.1063632085', 'pub.1063636191', 'pub.1063798622', 'pub.1025198963', 'pub.1064039172', 'pub.1027846072', 'pub.1064149733', 'pub.1064150063', 'pub.1064150206', 'pub.1067466951', 'pub.1012280159', 'pub.1046893025', 'pub.1035759633', 'pub.1011729364', 'pub.1046549373', 'pub.1028836503']",0,Oral mouthpiece and method for the use thereof,2015
59,"[{'id': '2867', 'name': '0906 Electrical and Electronic Engineering'}]","['Apple Inc', 'APPLE INC']","[{'id': 'grid.455360.1', 'name': 'Apple (United States)', 'country_name': 'United States'}]",Grant,2016.0,US-9443485-B2,['Willem den Boer'],2016-09-13,"['pub.1013320138', 'pub.1019769050', 'pub.1043059573', 'pub.1027708648']",0,Thin-film transistor liquid-crystal display with variable frame frequency,2014
60,"[{'id': '2867', 'name': '0906 Electrical and Electronic Engineering'}]","['Apple Inc', 'DEN BOER WILLEM', 'SCANVUE TECHNOLOGIES LLC']","[{'id': 'grid.455360.1', 'name': 'Apple (United States)', 'country_name': 'United States'}]",Grant,2014.0,US-8730226-B2,['Willem den Boer'],2014-05-20,"['pub.1013320138', 'pub.1019769050', 'pub.1043059573', 'pub.1027708648']",2,Thin-film transistor liquid-crystal display with variable frame frequency,2011
61,"[{'id': '2867', 'name': '0906 Electrical and Electronic Engineering'}]","['Immersion Corp', 'IMMERSION CORP']","[{'id': 'grid.420902.d', 'name': 'Immersion (United States)', 'country_name': 'United States'}]",Grant,2018.0,US-9898903-B2,"['Vahid KHOSHKAVA', 'Vincent Levesque', 'Jamal Saboune', 'Abdelwahab Hamam', 'Juan Manuel Cruz-Hernandez', 'Liwen Wu']",2018-02-20,"['pub.1002872999', 'pub.1017176489', 'pub.1061240814', 'pub.1061289793', 'pub.1061290042', 'pub.1035228535', 'pub.1065195754']",5,Systems and methods for haptic surface elements,2016
62,"[{'id': '2539', 'name': '0406 Physical Geography and Environmental Geoscience'}]","['RIKKYO GAKUIN', 'JOSHO GAKUEN EDUCATIONAL FOUNDATION']",,Application,,WO-2014042087-A1,"['常盤 広明', '入江\u3000正浩', '池田\u3000潔', '大坪 忠宗']",2014-03-20,"['pub.1022161360', 'pub.1000700609', 'pub.1051298953', 'pub.1056026447']",0,WATER-SOLUBLE PHOTOCHROMIC MOLECULE,2013
63,"[{'id': '2409', 'name': '0205 Optical Physics'}]","['Fraunhofer Gesellschaft zur Forderung der Angewandten Forschung eV', 'FRAUNHOFER GES ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E V']","[{'id': 'grid.4561.6', 'acronym': 'FHG', 'name': 'Fraunhofer Society', 'country_name': 'Germany'}]",Application,,DE-102014207723-A1,"['Mark Bennemann', 'Andre Geßner']",2015-10-29,['pub.1038306150'],0,Laser with a distributed feedback,2014
64,"[{'id': '2438', 'name': '0302 Inorganic Chemistry'}]","['RIKKYO EDUCATIONAL Corp', 'JOSHO GAKUEN EDUCATIONAL FOUNDATION', 'RIKKYO EDUCATIONAL CORP', 'JOSHO GAKUEN EDUCATIONAL FOUND']",,Grant,2017.0,US-9738675-B2,"['Hiroaki Tokiwa', 'Masahiro Irie', 'Kiyoshi Ikeda', 'Tadamune OTSUBO']",2017-08-22,"['pub.1028584059', 'pub.1022161360', 'pub.1034058173', 'pub.1000700609', 'pub.1055871035', 'pub.1056026447', 'pub.1056039645', 'pub.1045471237', 'pub.1064487645', 'pub.1064489202']",0,Water-soluble photochromic compound,2013
65,"[{'id': '2921', 'name': '0912 Materials Engineering'}, {'id': '2844', 'name': '0904 Chemical Engineering'}]",['UNIV RICE WILLIAM M'],"[{'id': 'grid.21940.3e', 'name': 'Rice University', 'country_name': 'United States'}]",Application,,WO-2018017369-A2,"['TOUR, JAMES, M.', 'SHA, Junwei', 'LI, YILUN', 'MILLER, JORDAN', 'KINSTLINGER, Ian', 'COFER, Savannah', 'CHYAN, YIEU']",2018-01-25,"['pub.1021858146', 'pub.1016033752', 'pub.1047953299', 'pub.1028990159', 'pub.1009068129', 'pub.1027556246', 'pub.1044657722', 'pub.1029403995', 'pub.1032707820', 'pub.1015555322', 'pub.1002139430', 'pub.1003545989', 'pub.1004511033', 'pub.1037023114', 'pub.1023649912', 'pub.1007783206', 'pub.1052734141', 'pub.1042101009', 'pub.1015385225', 'pub.1004984274', 'pub.1043530803', 'pub.1002529985', 'pub.1034642959', 'pub.1006209024', 'pub.1083533444', 'pub.1004857572', 'pub.1055136910', 'pub.1055136918', 'pub.1018854350', 'pub.1055137563', 'pub.1055137985', 'pub.1055141149', 'pub.1055142138', 'pub.1055143666', 'pub.1002016734', 'pub.1010552243', 'pub.1056220407', 'pub.1053424937', 'pub.1039783635', 'pub.1007300655', 'pub.1056225375', 'pub.1056225796', 'pub.1038437864', 'pub.1027581377', 'pub.1045392165', 'pub.1012050322', 'pub.1010521124', 'pub.1018507382', 'pub.1052791836', 'pub.1012942287', 'pub.1022328266', 'pub.1018595188', 'pub.1051608419', 'pub.1004379500', 'pub.1033960953', 'pub.1031761267', 'pub.1032549191', 'pub.1022432392', 'pub.1007702176', 'pub.1023354297', 'pub.1026279242', 'pub.1036392348', 'pub.1044102309', 'pub.1018443135', 'pub.1062563019', 'pub.1004621027']",0,THREE-DIMENSIONAL (3D) PRINTING OF GRAPHENE MATERIALS,2017
