,total_grants,id,last_grant_year
249,3,ur.01270001061.21,2022.0
250,1,ur.01223606626.04,2020.0
251,8,ur.0730724336.65,2021.0
252,0,ur.01111064510.47,
253,2,ur.015440420777.43,2011.0
254,6,ur.01060172311.14,2023.0
255,0,ur.01367042426.41,
256,3,ur.0727107235.84,2011.0
257,39,ur.01014232611.51,2027.0
258,27,ur.014514614637.17,2021.0
259,4,ur.01052563772.69,2012.0
260,35,ur.01045274562.67,2023.0
261,9,ur.01264737414.70,2021.0
262,4,ur.0660747026.21,2019.0
263,5,ur.0654341265.88,2023.0
264,25,ur.01127542415.10,2023.0
265,5,ur.01100532760.37,2020.0
266,2,ur.01301232211.13,2020.0
267,1,ur.01067302737.32,2003.0
268,0,ur.0703026332.87,
269,23,ur.0606704334.54,2020.0
270,32,ur.01367711150.31,2024.0
271,19,ur.01074226355.01,2022.0
272,28,ur.064477252.38,2020.0
273,8,ur.0610667722.81,2015.0
274,7,ur.0675500473.09,2022.0
275,27,ur.0671073025.86,2024.0
276,21,ur.01041444737.29,2019.0
277,49,ur.01031217667.32,2024.0
278,1,ur.01352744336.54,2017.0
279,1,ur.01344404521.43,2020.0
280,0,ur.01212615411.02,
281,27,ur.010115766245.30,2023.0
282,24,ur.01024027537.42,2023.0
283,12,ur.010403073577.20,2019.0
284,22,ur.015565463537.09,2022.0
285,15,ur.01134367124.36,2019.0
286,4,ur.0737763537.61,2020.0
287,8,ur.01242715665.45,2018.0
288,0,ur.0637651205.48,
289,0,ur.01002652773.15,
290,10,ur.01153036061.24,2022.0
291,2,ur.0735501366.78,2020.0
292,2,ur.0751153115.10,2013.0
293,0,ur.01143540012.53,
294,1,ur.01066354456.51,2020.0
295,10,ur.012114463457.52,2023.0
296,1,ur.0651363747.00,2004.0
297,42,ur.016425765167.70,2024.0
298,0,ur.01352712313.86,
299,0,ur.01214037731.22,
300,0,ur.01265161315.61,
301,0,ur.01063107667.97,
302,0,ur.01305467031.32,
303,0,ur.01201444625.22,
304,0,ur.0612256763.55,
305,0,ur.01155553465.69,
306,0,ur.01324147461.28,
307,0,ur.01273401363.65,
308,0,ur.01310503443.70,
309,4,ur.01070452435.44,2022.0
310,0,ur.01307114140.50,
311,1,ur.0610570026.87,
312,0,ur.01266747622.46,
313,1,ur.01116161622.29,2010.0
314,0,ur.011032430067.08,
315,7,ur.01002616026.32,2023.0
316,0,ur.011673465237.05,
317,0,ur.010551121657.46,
318,3,ur.01366154613.34,2019.0
319,0,ur.014231041057.12,
320,0,ur.01114651121.45,
321,0,ur.01144253565.44,
322,1,ur.01217411134.93,2022.0
323,0,ur.0747162463.84,
324,4,ur.01365531352.22,2020.0
325,0,ur.0675136436.15,
326,1,ur.01071376774.64,2017.0
327,0,ur.0575702706.33,
328,4,ur.0645437504.72,2021.0
329,0,ur.014776121077.49,
330,9,ur.012470551052.55,2015.0
331,27,ur.01070337133.28,2023.0
332,3,ur.0707361361.60,2020.0
333,0,ur.016674701102.75,
334,0,ur.0654121465.06,
335,1,ur.01042545356.70,2012.0
336,6,ur.0755010463.53,2023.0
337,1,ur.01115770721.26,2017.0
338,0,ur.0722177771.46,
339,3,ur.0760704165.88,2020.0
340,31,ur.01033044533.08,2021.0
341,12,ur.0751112610.31,2024.0
342,5,ur.015725517277.33,2019.0
343,0,ur.01316742644.30,
344,1,ur.016466407337.40,
345,29,ur.01263457230.91,2023.0
346,42,ur.01070335717.00,2021.0
347,3,ur.01047400610.27,2023.0
348,0,ur.01363244334.84,
349,9,ur.01055762674.33,2023.0
350,15,ur.011103735437.73,2020.0
351,6,ur.01347664403.23,2018.0
352,0,ur.01142017552.25,
353,0,ur.01004460445.52,
354,4,ur.07746151362.14,2017.0
355,13,ur.01326615365.18,2019.0
356,6,ur.01250033404.09,2022.0
357,3,ur.01312451146.19,2021.0
358,0,ur.01154736424.87,
359,18,ur.01034602463.88,2021.0
360,1,ur.016601220537.48,2019.0
361,27,ur.010065171457.69,2019.0
362,13,ur.01316313531.32,2024.0
363,3,ur.01317433110.75,2024.0
364,60,ur.0616256460.84,2023.0
365,1,ur.01271721176.11,2010.0
366,1,ur.01174076626.46,2014.0
367,2,ur.01132715706.47,2019.0
368,1,ur.0670056120.12,2017.0
369,9,ur.0720114066.32,2022.0
370,30,ur.01313145634.66,2022.0
371,15,ur.01004625741.05,2015.0
372,14,ur.0635554374.79,2024.0
373,7,ur.01305515027.20,2024.0
374,6,ur.01016372227.74,2024.0
375,17,ur.01334521133.00,2022.0
376,5,ur.01232442712.25,2023.0
