,id,last_grant_year,total_grants
248,ur.01212126575.59,2022.0,6.0
249,ur.01352712313.86,,
250,ur.01367711150.31,2024.0,30.0
251,ur.0637662640.88,,1.0
252,ur.01043744667.67,,
253,ur.0611467633.09,,
254,ur.01272021712.88,2020.0,2.0
255,ur.01372510466.28,2013.0,4.0
256,ur.01301232211.13,2020.0,2.0
257,ur.01160554431.67,,
258,ur.01146242611.08,2021.0,13.0
259,ur.01041444737.29,2018.0,21.0
260,ur.01067302737.32,2003.0,1.0
261,ur.01270001061.21,2022.0,2.0
262,ur.01357746643.85,,
263,ur.0651363747.00,2004.0,1.0
264,ur.01121575667.46,2020.0,2.0
265,ur.0763727005.09,2022.0,21.0
266,ur.01214037731.22,,
267,ur.01332326377.02,2018.0,3.0
268,ur.01262760646.95,2019.0,18.0
269,ur.0736477270.05,,
270,ur.0660747026.21,,
271,ur.01210015511.37,2024.0,3.0
272,ur.01031217667.32,2023.0,46.0
273,ur.01134046226.44,,2.0
274,ur.0610667722.81,2015.0,7.0
275,ur.01354702574.20,2020.0,1.0
276,ur.0675500473.09,2022.0,7.0
277,ur.01265161315.61,,
278,ur.01117105305.38,,
279,ur.0611452663.46,,
280,ur.01060172311.14,2011.0,2.0
281,ur.0730724336.65,2021.0,8.0
282,ur.0703026332.87,,
283,ur.0712255320.24,,
284,ur.01115613606.51,2021.0,18.0
285,ur.0776707354.45,,
286,ur.0621721526.17,2018.0,7.0
287,ur.0735501366.78,2020.0,2.0
288,ur.01267126530.10,,
289,ur.0734135057.55,2019.0,2.0
290,ur.01344404521.43,2020.0,1.0
291,ur.01345057751.89,,
292,ur.0704313302.86,2022.0,3.0
293,ur.01020276562.45,,
294,ur.0664633045.78,,
295,ur.010370267737.55,2022.0,17.0
296,ur.0750524661.10,2023.0,29.0
297,ur.014345267457.07,2023.0,15.0
298,ur.015565463537.09,2022.0,21.0
299,ur.01153036061.24,2021.0,10.0
300,ur.014514614637.17,2023.0,21.0
301,ur.012061250547.34,2022.0,8.0
302,ur.012151130377.17,2015.0,1.0
303,ur.015521617657.37,2019.0,15.0
304,ur.0700374216.54,,
305,ur.01244315352.55,,
306,ur.014551440505.24,,
307,ur.0642437710.09,2023.0,14.0
308,ur.01356101225.49,,
309,ur.011362467573.59,2020.0,1.0
310,ur.016605505244.07,,
