,name,surname,frequency,search_url
982,Nilesh J,Samani,2,https://www.google.com/search?q=Nilesh%20J+Samani
983,Ning,Jiang,2,https://www.google.com/search?q=Ning+Jiang
984,Mikael,Landén,2,https://www.google.com/search?q=Mikael+Land%C3%A9n
985,Georg,Homuth,2,https://www.google.com/search?q=Georg+Homuth
986,Georg,Pfeiler,2,https://www.google.com/search?q=Georg+Pfeiler
987,Nirav,Patel,2,https://www.google.com/search?q=Nirav+Patel
988,Diana,Rajan,2,https://www.google.com/search?q=Diana+Rajan
989,Frank,Martiniuk,2,https://www.google.com/search?q=Frank+Martiniuk
990,Deepti,Jain,2,https://www.google.com/search?q=Deepti+Jain
991,Oluf,Pedersen,2,https://www.google.com/search?q=Oluf+Pedersen
992,Mary K.,Wojczynski,2,https://www.google.com/search?q=Mary%20K.+Wojczynski
993,Pascual,Sanchez-Juan,2,https://www.google.com/search?q=Pascual+Sanchez-Juan
994,Paola,Bossù,2,https://www.google.com/search?q=Paola+Boss%C3%B9
995,Michelle K.,Lupton,2,https://www.google.com/search?q=Michelle%20K.+Lupton
996,David S.,Crosslin,2,https://www.google.com/search?q=David%20S.+Crosslin
997,Giancarlo,Russo,2,https://www.google.com/search?q=Giancarlo+Russo
998,Paolo,Caffarra,2,https://www.google.com/search?q=Paolo+Caffarra
999,David R,Weir,2,https://www.google.com/search?q=David%20R+Weir
1000,Gianfranco,Spalletta,2,https://www.google.com/search?q=Gianfranco+Spalletta
1001,Marek,Szwiec,2,https://www.google.com/search?q=Marek+Szwiec
1002,Gidon,Winter,2,https://www.google.com/search?q=Gidon+Winter
1003,Emil V. R.,Appel,2,https://www.google.com/search?q=Emil%20V.%20R.+Appel
1004,Gil,Ben-Zvi,2,https://www.google.com/search?q=Gil+Ben-Zvi
1005,David M.,Braun,2,https://www.google.com/search?q=David%20M.+Braun
1006,Gian Marco,Ghiggeri,2,https://www.google.com/search?q=Gian%20Marco+Ghiggeri
1007,Gill,Livingston,2,https://www.google.com/search?q=Gill+Livingston
1008,Patric,Nitsche-Schmitz,2,https://www.google.com/search?q=Patric+Nitsche-Schmitz
1009,David J.,Roberts,2,https://www.google.com/search?q=David%20J.+Roberts
1010,David J.,Price,2,https://www.google.com/search?q=David%20J.+Price
1011,Patricia A,Boyle,2,https://www.google.com/search?q=Patricia%20A+Boyle
1012,Michele M.,Sale,2,https://www.google.com/search?q=Michele%20M.+Sale
1013,Patricia A.,Peyser,2,https://www.google.com/search?q=Patricia%20A.+Peyser
1014,Patricia B,Munroe,2,https://www.google.com/search?q=Patricia%20B+Munroe
1015,Patricia L.,Weng,2,https://www.google.com/search?q=Patricia%20L.+Weng
1016,Michele K.,Evans,2,https://www.google.com/search?q=Michele%20K.+Evans
1017,Patrick,Ferreira,2,https://www.google.com/search?q=Patrick+Ferreira
1018,Paola,Bosco,2,https://www.google.com/search?q=Paola+Bosco
1019,Michelle L.,O’Donoghue,2,https://www.google.com/search?q=Michelle%20L.+O%E2%80%99Donoghue
1020,Maria,Koutroumani,2,https://www.google.com/search?q=Maria+Koutroumani
1021,Marguerite R.,Irvin,2,https://www.google.com/search?q=Marguerite%20R.+Irvin
1022,Georgina E.,Menzies,2,https://www.google.com/search?q=Georgina%20E.+Menzies
1023,Maria,Del Zompo,2,https://www.google.com/search?q=Maria+Del%20Zompo
1024,Deborah J.,Thompson,2,https://www.google.com/search?q=Deborah%20J.+Thompson
1025,Oscar H.,Franco,2,https://www.google.com/search?q=Oscar%20H.+Franco
1026,Oscar L.,Lopez,2,https://www.google.com/search?q=Oscar%20L.+Lopez
1027,Oscar R.,Benavente,2,https://www.google.com/search?q=Oscar%20R.+Benavente
1028,Deborah C.,Mash,2,https://www.google.com/search?q=Deborah%20C.+Mash
1029,Otto,Valladares,2,https://www.google.com/search?q=Otto+Valladares
1030,Elliot,Stieglitz,2,https://www.google.com/search?q=Elliot+Stieglitz
1031,Ozren,Polašek,2,https://www.google.com/search?q=Ozren+Pola%C5%A1ek
1032,Deborah A.,Williamson,2,https://www.google.com/search?q=Deborah%20A.+Williamson
1033,Gerard D.,Schellenberg,2,https://www.google.com/search?q=Gerard%20D.+Schellenberg
1034,Panos,Deloukas,2,https://www.google.com/search?q=Panos+Deloukas
1035,Mary,Sano,2,https://www.google.com/search?q=Mary+Sano
1036,Elliott H,Sherr,2,https://www.google.com/search?q=Elliott%20H+Sherr
1037,Deborah,Blacker,2,https://www.google.com/search?q=Deborah+Blacker
1038,Margaret M.,Parker,2,https://www.google.com/search?q=Margaret%20M.+Parker
1039,Mary,Schuler,2,https://www.google.com/search?q=Mary+Schuler
1040,Eloise,Tribollet,2,https://www.google.com/search?q=Eloise+Tribollet
1041,Dawn O.,Kleindorfer,2,https://www.google.com/search?q=Dawn%20O.+Kleindorfer
1042,Panagiotis,Deloukas,2,https://www.google.com/search?q=Panagiotis+Deloukas
1043,Gert G,Wagner,2,https://www.google.com/search?q=Gert%20G+Wagner
1044,David W.,Fardo,2,https://www.google.com/search?q=David%20W.+Fardo
1045,Eloy,Rodriguez-Rodriguez,2,https://www.google.com/search?q=Eloy+Rodriguez-Rodriguez
1046,Mariet,Allen,2,https://www.google.com/search?q=Mariet+Allen
1047,Nicola,Miller,2,https://www.google.com/search?q=Nicola+Miller
1048,Nicola,Denning,2,https://www.google.com/search?q=Nicola+Denning
1049,Mark Alan,Fontana,2,https://www.google.com/search?q=Mark%20Alan+Fontana
1050,Mark J.,Walker,2,https://www.google.com/search?q=Mark%20J.+Walker
1051,Mitchell,Tang,2,https://www.google.com/search?q=Mitchell+Tang
