,affiliations,corresponding,current_organization_id,first_name,is_bogus,last_name,orcid,researcher_id,pub_id
890,"[{'id': 'grid.484519.5', 'name': 'Amsterdam Neuroscience', 'city': 'Amsterdam', 'city_id': 2759794, 'country': 'Netherlands', 'country_code': 'NL', 'state': None, 'state_code': None}]",True,grid.484519.5,Danielle,,Posthuma,['0000-0001-7582-2365'],ur.01326615365.18,pub.1120394720
891,"[{'id': 'grid.10306.34', 'name': 'Wellcome Sanger Institute', 'city': 'Cambridge', 'city_id': 2653941, 'country': 'United Kingdom', 'country_code': 'GB', 'state': None, 'state_code': None}]",True,grid.10306.34,Nitin,,Kumar,['0000-0002-2140-4923'],ur.01261370603.21,pub.1120284133
895,"[{'id': 'grid.10306.34', 'name': 'Wellcome Sanger Institute', 'city': 'Cambridge', 'city_id': 2653941, 'country': 'United Kingdom', 'country_code': 'GB', 'state': None, 'state_code': None}]",,grid.10306.34,Simon,,Clare,,ur.01172611216.14,pub.1120284133
901,"[{'id': 'grid.10025.36', 'name': 'University of Liverpool', 'city': 'Liverpool', 'city_id': 2644210, 'country': 'United Kingdom', 'country_code': 'GB', 'state': None, 'state_code': None}]",,grid.10025.36,Munir,,Pirmohamed,['0000-0002-7534-7266'],ur.0630220770.36,pub.1120284133
903,"[{'id': 'grid.452905.f', 'name': 'Slagelse Hospital', 'city': 'Slagelse', 'city_id': 2613460, 'country': 'Denmark', 'country_code': 'DK', 'state': None, 'state_code': None}]",,grid.452905.f,Mie Birgitte Frid,,Jensen,['0000-0001-7063-7400'],ur.012134371102.07,pub.1120284133
905,"[{'id': 'grid.10784.3a', 'name': 'Chinese University of Hong Kong', 'city': 'Shatin', 'city_id': 1818920, 'country': 'China', 'country_code': 'CN', 'state': None, 'state_code': None}]",,grid.10784.3a,Margaret,,Ip,['0000-0003-1291-6537'],ur.01351415225.29,pub.1120284133
909,"[{'name': 'Department of Microbiology, PathWest Laboratory Medicine, Queen Elizabeth II Medical Centre, Nedlands, Western Australia, Australia'}, {'id': 'grid.1012.2', 'name': 'University of Western Australia', 'city': 'Perth', 'city_id': 2063523, 'country': 'Australia', 'country_code': 'AU', 'state': 'Western Australia', 'state_code': 'AU-WA'}]",,grid.1025.6,Thomas V.,,Riley,['0000-0002-1351-3740'],ur.01006045430.46,pub.1120284133
917,"[{'id': 'grid.34477.33', 'name': 'University of Washington', 'city': 'Seattle', 'city_id': 5809844, 'country': 'United States', 'country_code': 'US', 'state': 'Washington', 'state_code': 'US-WA'}, {'name': 'Brotman Baty Institute for Precision Medicine, Seattle, WA, USA'}, {'id': 'grid.413575.1', 'name': 'Howard Hughes Medical Institute', 'city': 'Chevy Chase', 'city_id': 4351335, 'country': 'United States', 'country_code': 'US', 'state': 'Maryland', 'state_code': 'US-MD'}, {'name': 'Allen Discovery Center for Cell Lineage Tracing, Seattle, WA, USA'}]",,grid.34477.33,Jay,,Shendure,['0000-0002-1516-1865'],ur.01221110417.53,pub.1120762299
919,"[{'id': 'grid.4991.5', 'name': 'University of Oxford', 'city': 'Oxford', 'city_id': 2640729, 'country': 'United Kingdom', 'country_code': 'GB', 'state': None, 'state_code': None}]",True,grid.4991.5,Jerome,,Kelleher,['0000-0002-7894-5253'],ur.01212264177.29,pub.1120764425
923,"[{'id': 'grid.4991.5', 'name': 'University of Oxford', 'city': 'Oxford', 'city_id': 2640729, 'country': 'United Kingdom', 'country_code': 'GB', 'state': None, 'state_code': None}]",,grid.4991.5,Patrick K.,,Albers,['0000-0003-2770-3729'],ur.0764010716.29,pub.1120764425
968,"[{'id': 'grid.19006.3e', 'name': 'University of California Los Angeles', 'city': 'Los Angeles', 'city_id': 5368361, 'country': 'United States', 'country_code': 'US', 'state': 'California', 'state_code': 'US-CA'}, {'id': 'grid.13402.34', 'name': 'Zhejiang University', 'city': 'Hangzhou', 'city_id': 1808926, 'country': 'China', 'country_code': 'CN', 'state': None, 'state_code': None}]",,grid.13402.34,Kangcheng,,Hou,,ur.016361002743.43,pub.1119953706
971,"[{'id': 'grid.19006.3e', 'name': 'University of California Los Angeles', 'city': 'Los Angeles', 'city_id': 5368361, 'country': 'United States', 'country_code': 'US', 'state': 'California', 'state_code': 'US-CA'}, {'id': 'grid.38142.3c', 'name': 'Harvard University', 'city': 'Cambridge', 'city_id': 4931972, 'country': 'United States', 'country_code': 'US', 'state': 'Massachusetts', 'state_code': 'US-MA'}]",,grid.19006.3e,Huwenbo,,Shi,,ur.0646207203.54,pub.1119953706
973,"[{'id': 'grid.19006.3e', 'name': 'University of California Los Angeles', 'city': 'Los Angeles', 'city_id': 5368361, 'country': 'United States', 'country_code': 'US', 'state': 'California', 'state_code': 'US-CA'}]",,grid.19006.3e,Yue,,Wu,,ur.010407362406.84,pub.1119953706
975,"[{'id': 'grid.19006.3e', 'name': 'University of California Los Angeles', 'city': 'Los Angeles', 'city_id': 5368361, 'country': 'United States', 'country_code': 'US', 'state': 'California', 'state_code': 'US-CA'}]",True,grid.19006.3e,Bogdan,,Pasaniuc,['0000-0002-0227-2056'],ur.0737513674.23,pub.1119953706
976,"[{'id': 'grid.66859.34', 'name': 'Broad Institute', 'city': 'Cambridge', 'city_id': 4931972, 'country': 'United States', 'country_code': 'US', 'state': 'Massachusetts', 'state_code': 'US-MA'}, {'id': 'grid.32224.35', 'name': 'Massachusetts General Hospital', 'city': 'Boston', 'city_id': 4930956, 'country': 'United States', 'country_code': 'US', 'state': 'Massachusetts', 'state_code': 'US-MA'}]",True,grid.32224.35,Patrick,,Turley,,ur.016165060366.07,pub.1117493989
