,count,funding,id
168608,1,1609430.0,ur.0710160670.51
168609,1,8156311.0,ur.0714413243.58
168610,1,1609430.0,ur.0723140342.76
168611,1,0.0,ur.0731250450.81
168612,1,0.0,ur.0736032622.17
168613,1,100000.0,ur.0740045122.18
168614,1,75000.0,ur.0742231427.43
168615,1,0.0,ur.0742245345.78
168616,1,1609430.0,ur.0747331322.42
168617,1,0.0,ur.0750176620.54
168618,1,0.0,ur.0750725326.24
168619,1,0.0,ur.0753527222.78
168620,1,0.0,ur.0754452147.69
168621,1,250998.0,ur.0754541346.65
168622,1,1609430.0,ur.07574173442.08
168623,1,1609430.0,ur.0762440430.16
168624,1,1609430.0,ur.0766301530.65
168625,1,8156311.0,ur.07773672732.33
168626,23,182842920.0,ur.012211015057.25
168627,22,100965205.0,ur.01220077743.96
168628,18,143037504.0,ur.01221020161.61
168629,11,31096834.0,ur.01220125371.89
168630,6,0.0,ur.01217774276.93
168631,6,148205591.0,ur.0773606733.46
168632,5,46440497.0,ur.01217262534.68
168633,5,9277464.0,ur.01220674066.84
168634,4,0.0,ur.01222530066.11
168635,3,22289553.0,ur.010101505177.49
168636,3,551885.0,ur.012207413427.44
168637,3,52348761.0,ur.016141704452.65
168638,3,0.0,ur.0622252425.01
168639,3,22289553.0,ur.0764502061.49
168640,2,46685496.0,ur.01005000414.26
168641,2,46685496.0,ur.01031511621.34
168642,2,20779011.0,ur.01070431120.69
168643,2,111228420.0,ur.01102263636.58
168644,2,42095460.0,ur.01152417263.39
168645,2,8683398.0,ur.01155705471.47
168646,2,42095460.0,ur.011652432657.54
168647,2,34394745.0,ur.01210354015.39
168648,2,3154385.0,ur.01217443527.06
168649,2,0.0,ur.01221145515.68
168650,2,400967.0,ur.01222257455.18
168651,2,0.0,ur.01222377215.51
168652,2,50289828.0,ur.01242424567.91
168653,2,0.0,ur.01322323610.92
168654,2,111228420.0,ur.01337012043.12
168655,2,8683398.0,ur.01362612350.60
168656,2,0.0,ur.015000133543.50
168657,2,14018271.0,ur.056364613.51
168658,2,111228420.0,ur.0603460747.24
168659,2,8683398.0,ur.0644610357.89
168660,2,14018271.0,ur.0645741670.21
168661,2,0.0,ur.0675661021.71
168662,2,14018271.0,ur.0716027357.66
168663,2,6895607.0,ur.0724421520.68
168664,2,46685496.0,ur.0742545732.13
168665,1,21970132.0,ur.010004440032.35
168666,1,28797072.0,ur.010005315572.46
168667,1,8440792.0,ur.01001105514.37
168668,1,24715364.0,ur.01001154652.33
168669,1,21970132.0,ur.01001602321.26
168670,1,21970132.0,ur.01001777562.61
168671,1,21970132.0,ur.01002472274.19
168672,1,24715364.0,ur.010024732477.46
168673,1,21970132.0,ur.010027202272.52
168674,1,21970132.0,ur.010031372060.30
168675,1,24715364.0,ur.01003220436.30
168676,1,24715364.0,ur.01003333710.11
168677,1,21970132.0,ur.010033346632.01
168678,1,74257224.0,ur.010034740412.78
168679,1,21970132.0,ur.01003532765.24
168680,1,6433727.0,ur.01003652000.28
168681,1,28797072.0,ur.01004125414.69
168682,1,74257224.0,ur.010042623032.49
168683,1,21970132.0,ur.010043051032.18
168684,1,24715364.0,ur.01004321553.76
168685,1,22655526.0,ur.010045251312.59
168686,1,22655526.0,ur.01004571261.08
168687,1,21970132.0,ur.010046712132.57
168688,1,74257224.0,ur.01005127254.68
168689,1,74257224.0,ur.01005220764.60
168690,1,21970132.0,ur.010052553232.94
168691,1,21970132.0,ur.01005331112.69
168692,1,74257224.0,ur.01005370777.69
168693,1,74257224.0,ur.010054145012.15
