id,publication_date,assignee_names,title,granted_year,publication_ids,inventor_names,filing_status,year,FOR,assignees,times_cited
US-9364888-B2,2016-06-14,"['United Technologies Corp', 'UNITED TECHNOLOGIES CORP']",Regenerating an additively manufactured component to cure defects and alter microstructure,2016.0,['pub.1040299846'],"['John McBrien', 'Lea Kennard Castle', 'Brandon W. Spangler', 'Jinquan Xu']",Grant,2014,"[{'id': '2899', 'name': '0910 Manufacturing Engineering'}]","[{'id': 'grid.427377.2', 'city_name': 'East Hartford', 'acronym': 'UTC', 'name': 'United Technologies (United States)', 'country_name': 'United States'}]",4
US-9254535-B2,2016-02-09,"['Velo3D Inc', 'VELO3D INC']","Apparatuses, systems and methods for three-dimensional printing",2016.0,"['pub.1000912738', 'pub.1031531356', 'pub.1062074256']","['Benyamin Buller', 'Erel Milshtein']",Grant,2015,"[{'id': '2746', 'name': '0801 Artificial Intelligence and Image Processing'}]",,41
US-9063289-B1,2015-06-23,"['nLight Inc', 'FARMER JASON N', 'MEHL RONII C', 'WAARTS ROBERT G', 'NLIGHT PHOTONICS CORP']",Multimode fiber combiners,2015.0,"['pub.1065228094', 'pub.1061702966', 'pub.1061301157', 'pub.1065190861']","['Jason N. Farmer', 'Ronii C. Mehl', 'Robert G. Waarts']",Grant,2009,"[{'id': '2421', 'name': '0299 Other Physical Sciences'}]","[{'id': 'grid.431906.9', 'city_name': 'Vancouver', 'name': 'nLIGHT (United States)', 'country_name': 'United States'}]",15
US-9158070-B2,2015-10-13,"['nLight Inc', 'FARMER JASON N', 'KOPONEN JOONA', 'SARACCO MATTHIEU', 'NLIGHT PHOTONICS CORP']",Active tapers with reduced nonlinearity,2015.0,"['pub.1061301157', 'pub.1065228094', 'pub.1061702966', 'pub.1065190861']","['Jason N. Farmer', 'Joona Koponen', 'Matthieu Saracco']",Grant,2011,"[{'id': '2409', 'name': '0205 Optical Physics'}]","[{'id': 'grid.431906.9', 'city_name': 'Vancouver', 'name': 'nLIGHT (United States)', 'country_name': 'United States'}]",2
US-9931697-B2,2018-04-03,"['Velo3D Inc', 'VELO3D INC']",Accurate three-dimensional printing,2018.0,"['pub.1064448245', 'pub.1031531356', 'pub.1005548235', 'pub.1000912738', 'pub.1020423046', 'pub.1044566045', 'pub.1062074256', 'pub.1010076823', 'pub.1091513431', 'pub.1033006436', 'pub.1092778101', 'pub.1050932299']","['Evgeni Levin', 'Tasso LAPPAS', 'Benyamin Buller', 'Alan Rick Lappen']",Grant,2017,"[{'id': '2746', 'name': '0801 Artificial Intelligence and Image Processing'}]",,1
US-9573225-B2,2017-02-21,"['Velo3D Inc', 'VELO3D INC']","Apparatuses, systems and methods for three-dimensional printing",2017.0,"['pub.1050932299', 'pub.1064448245', 'pub.1031531356', 'pub.1062074256', 'pub.1033006436', 'pub.1000912738']","['Benyamin Buller', 'Erel Milshtein', 'Sherman Seelinger']",Grant,2016,"[{'id': '2746', 'name': '0801 Artificial Intelligence and Image Processing'}]",,24
WO-2013153344-A1,2013-10-17,['AMPLITUDES SYSTEMES'],SYSTEM AND METHOD FOR THE OPTICAL AMPLIFICATION OF ULTRASHORT LIGHT PULSES BEYOND THE LIMIT OF THE SPECTRAL GAIN BAND,,"['pub.1065190861', 'pub.1016301942', 'pub.1043348959', 'pub.1013297780', 'pub.1065224645']","['DELAIGUE, Martin', 'HONNINGER, CLEMENS', 'MOTTAY, ERIC']",Application,2013,"[{'id': '2409', 'name': '0205 Optical Physics'}, {'id': '2421', 'name': '0299 Other Physical Sciences'}]",,1
US-9486878-B2,2016-11-08,"['Velo3D Inc', 'VELO3D INC']","Apparatuses, systems and methods for three-dimensional printing",2016.0,"['pub.1050932299', 'pub.1005548235', 'pub.1064448245', 'pub.1031531356', 'pub.1062074256', 'pub.1033006436', 'pub.1000912738']","['Benyamin Buller', 'Erel Milshtein']",Grant,2015,"[{'id': '2746', 'name': '0801 Artificial Intelligence and Image Processing'}]",,26
US-9375782-B2,2016-06-28,"['United Technologies Corp', 'UNITED TECHNOLOGIES CORP']",Regenerating an additively manufactured component,2016.0,['pub.1040299846'],"['John McBrien', 'Lea Kennard Castle', 'Brandon W. Spangler', 'Jinquan Xu']",Grant,2014,"[{'id': '2899', 'name': '0910 Manufacturing Engineering'}]","[{'id': 'grid.427377.2', 'city_name': 'East Hartford', 'acronym': 'UTC', 'name': 'United Technologies (United States)', 'country_name': 'United States'}]",0
WO-2016166337-A1,2016-10-20,['EOS GMBH ELECTRO OPTICAL SYSTEMS'],METHOD AND CONTROL COMMAND GENERATION UNIT FOR AUTOMATIC GENERATION OF CONTROL COMMANDS OF A GENERATIVE LAYER CONSTRUCTION DEVICE,,"['pub.1042212091', 'pub.1047690475']","['HÜMMELER, Ludger', 'SEMMLER, MANFRED', 'MAYER, SIEGFRIED', 'FROHNMAIER, MARKUS']",Application,2016,"[{'id': '2746', 'name': '0801 Artificial Intelligence and Image Processing'}]","[{'id': 'grid.424585.a', 'city_name': 'Munich', 'acronym': 'EOS', 'name': 'Electro Optical Systems (Germany)', 'country_name': 'Germany'}]",1
US-20130022766-A1,2013-01-24,"['EMS Patent AG', 'EMS PATENT AG', 'BUTZKE JENS', 'WUERTHNER STEFAN', 'LAMBERTS NIKOLAI', 'DUEBON PIERRE', 'BERTRAM SABINE', 'CAVIEZEL HEINZ']",LASER BEAM WELDING METHOD AND MOLDED COMPONENTS FABRICATED THEREBY,,"['pub.1049704950', 'pub.1047570431']","['Jens BUTZKE', 'Stefan Würthner', 'Nikolai Lamberts', 'Pierre Dübon', 'Sabine BERTRAM', 'Heinz CAVIEZEL']",Application,2012,"[{'id': '2899', 'name': '0910 Manufacturing Engineering'}]","[{'id': 'grid.480170.a', 'city_name': 'Herrliberg', 'name': 'EMS (Switzerland)', 'country_name': 'Switzerland'}]",2
US-8873136-B2,2014-10-28,"['Coherent Inc', 'COHERENT INC']",High-gain face-pumped slab-amplifier,2014.0,"['pub.1065220259', 'pub.1065190861']","['Andrei Starodoumov', 'Norman Hodgson']",Grant,2013,"[{'id': '2409', 'name': '0205 Optical Physics'}]","[{'id': 'grid.436558.9', 'city_name': 'Santa Clara', 'name': 'Coherent (United States)', 'country_name': 'United States'}]",1
US-9625728-B2,2017-04-18,"['Max-Planck-Gesellschaft zur Forderung der Wissenschaften', 'PUPEZA IOACHIM', 'KRAUSZ FERENC', 'MAX-PLANCK-GESELLSCHAFT ZUR FOERDERUNG DER WSS E V']",Spatially splitting or combining radiation beams,2017.0,"['pub.1065228094', 'pub.1065190861', 'pub.1065183765', 'pub.1065169932', 'pub.1039480297', 'pub.1065226035', 'pub.1065228782', 'pub.1065213685', 'pub.1065225425']","['Ioachim Pupeza', 'Ferenc Krausz']",Grant,2012,"[{'id': '2421', 'name': '0299 Other Physical Sciences'}]","[{'id': 'grid.4372.2', 'city_name': 'Munich', 'acronym': 'MPG', 'name': 'Max Planck Society', 'country_name': 'Germany'}]",0
US-9356418-B2,2016-05-31,"['nLight Inc', 'NLIGHT PHOTONICS CORP', 'NLIGHT INC']",All fiber low dynamic pointing high power LMA fiber amplifier,2016.0,"['pub.1065228094', 'pub.1061301157', 'pub.1065190861', 'pub.1061702966']","['Matthieu Saracco', 'David Logan', 'Timothy S. McComb', 'Jared Green']",Grant,2013,"[{'id': '2867', 'name': '0906 Electrical and Electronic Engineering'}]","[{'id': 'grid.431906.9', 'city_name': 'Vancouver', 'name': 'nLIGHT (United States)', 'country_name': 'United States'}]",1
