researcher_id,pubs,full_name,citations_mean,altmetric_mean,last_pub_year,url,total_grants,last_grant_year,total_funding
ur.01033044533.08,20,Peter M. Visscher,236.3,365.25,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01033044533.08,32,2022,30682017.0
ur.01061331247.57,19,Michael Boehnke,136.0,136.89473684210526,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01061331247.57,17,2023,70858885.0
ur.01335473265.62,19,Mika Kähönen,114.63157894736842,202.0,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01335473265.62,3,2011,393780.0
ur.015600745002.61,19,John R B Perry,246.578947368421,349.6315789473685,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.015600745002.61,1,2013,
ur.01133572106.62,19,Stephan Ripke,391.89473684210526,338.5263157894737,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01133572106.62,0,0,
ur.0606704334.54,19,Nilesh J Samani,110.57894736842104,152.26315789473685,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0606704334.54,24,2020,63961020.0
ur.0611467633.09,19,Hreinn Stefansson,192.4736842105264,339.3157894736842,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0611467633.09,0,0,
ur.01022740164.96,19,Veikko Salomaa,139.05263157894734,254.0,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01022740164.96,2,2014,874851.0
ur.01250033404.09,19,Cecilia M. Lindgren,115.68421052631581,177.21052631578945,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01250033404.09,6,2022,2843766.0
ur.0657532321.26,19,Yoichiro Kamatani,98.31578947368419,136.4736842105263,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0657532321.26,4,2023,983084.0
ur.016323146432.35,19,Michiaki Kubo,148.5263157894737,99.89473684210527,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.016323146432.35,11,2019,9912804.0
ur.01217411134.93,18,Hilary K. Finucane,362.4444444444445,186.05555555555557,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01217411134.93,1,2022,1335000.0
ur.01117721120.30,18,Grant W. Montgomery,201.83333333333331,448.0555555555555,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01117721120.30,29,2020,18834070.0
ur.01300757630.84,18,Paolo Gasparini,59.444444444444436,178.22222222222226,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01300757630.84,17,2018,2823960.0
ur.01367042426.41,18,Martina Müller-Nurasyid,112.0,165.88888888888889,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01367042426.41,0,0,
ur.01056637062.63,18,Sandosh Padmanabhan,94.77777777777777,180.88888888888889,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01056637062.63,9,2022,12737568.0
ur.0770340363.50,18,Danish Saleheen,106.27777777777777,190.11111111111111,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0770340363.50,11,2023,27289708.0
ur.0576775630.15,18,Igor Rudan,100.16666666666669,255.88888888888889,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0576775630.15,2,2018,250109.0
ur.07773763167.28,18,Joanna M. M. Howson,108.0,190.66666666666663,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.07773763167.28,0,0,
ur.01005203363.26,18,Erwin P. Bottinger,107.27777777777777,155.22222222222226,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01005203363.26,10,2024,30816163.0
ur.010403073577.20,18,Stephen J Chanock,107.88888888888887,208.55555555555557,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.010403073577.20,12,2019,175610754.0
ur.012470551052.55,18,Robert A Scott,95.33333333333331,218.5,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.012470551052.55,9,2015,44634518.0
ur.01276752315.18,18,Veronique Vitart,68.1111111111111,224.5,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01276752315.18,1,2023,5062202.0
ur.01134046226.44,18,Tune H. Pers,160.5,337.5555555555556,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01134046226.44,5,2019,1986949.0
ur.01117072553.44,17,Annette Peters,126.0,159.82352941176467,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01117072553.44,9,2019,16302447.0
ur.0712215644.00,17,Joe Dennis,87.05882352941177,267.3529411764706,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0712215644.00,0,0,
ur.013236063322.64,17,Lenore J. Launer,155.41176470588238,250.64705882352942,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.013236063322.64,20,2019,38035926.0
ur.01175557647.16,17,Cristen J. Willer,96.35294117647058,174.7647058823529,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01175557647.16,7,2024,14379089.0
ur.01356633042.87,17,Karen L. Mohlke,106.23529411764706,172.58823529411762,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01356633042.87,11,2022,25968119.0
ur.01077652051.47,17,Philippe Amouyel,107.29411764705885,222.82352941176467,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01077652051.47,0,0,
ur.01366065163.97,17,Gisli Masson,77.88235294117645,168.58823529411762,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01366065163.97,0,0,
ur.01034602463.88,16,Paul D P Pharoah,73.3125,263.375,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01034602463.88,18,2021,7983638.0
ur.0750524661.10,16,Nancy L Pedersen,232.125,373.5,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0750524661.10,32,2023,33971690.0
ur.01171532202.66,16,Oscar H. Franco,102.375,133.375,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01171532202.66,0,0,
ur.01345347020.14,16,Dennis O. Mook-Kanamori,93.25,290.875,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01345347020.14,0,0,
ur.0657037321.56,16,Yukinori Okada,149.3125,132.5,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0657037321.56,12,2024,4269729.0
ur.01074226355.01,16,Sarah E. Medland,186.125,508.9375,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01074226355.01,19,2022,9717519.0
ur.0730724336.65,16,Jian Yang,326.6875,375.3125,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0730724336.65,13,2021,18070930.0
ur.0670056120.12,16,Albert Hofman,164.0,381.8125,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0670056120.12,1,2017,
ur.01120140410.39,16,Lili Milani,210.0,483.3125,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01120140410.39,6,2022,3143719.0
ur.010146517105.13,16,Yingchang Lu,95.8125,150.5625,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.010146517105.13,0,0,
ur.01220643160.06,16,Ingileif Jonsdottir,57.625,116.625,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01220643160.06,6,2015,765591.0
ur.012010266137.38,16,Michael C. O’Donovan,206.6875,264.875,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.012010266137.38,28,2022,55237857.0
ur.01014232611.51,16,Paul Elliott,80.3125,162.125,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01014232611.51,39,2027,139233231.0
ur.01276147702.63,16,Evangelos Evangelou,86.5,164.6875,2020,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01276147702.63,0,0,
ur.01020276562.45,16,Leo-Pekka Lyytikäinen,74.6875,180.8125,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01020276562.45,0,0,
ur.0610017257.08,16,Gonneke Willemsen,142.4375,354.25,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0610017257.08,0,0,
