researcher_id,pubs,full_name,citations_mean,altmetric_mean,last_pub_year,url
ur.012010266137.38,17,Michael C. O’Donovan,353.8235294117647,268.88235294117646,2021,
ur.01115770721.26,17,Masahiro Kanai,157.58823529411765,141.41176470588235,2021,
ur.01171532202.66,17,Oscar H Franco,246.58823529411765,128.52941176470588,2019,
ur.01326563003.30,17,Ruifang Li-Gao,127.76470588235294,304.11764705882354,2021,
ur.0612256763.55,17,Jennifer E. Huffman,148.35294117647058,140.76470588235293,2021,
ur.012050176237.32,17,Joshua C. Bis,237.11764705882354,183.35294117647058,2021,
ur.015767231737.16,17,Jaakko Kaprio,158.1764705882353,326.6470588235294,2021,
ur.01053125172.25,17,Francesco Cucca,267.88235294117646,262.52941176470586,2021,
ur.01051674732.59,17,Patricia B. Munroe,130.23529411764707,217.94117647058823,2021,
ur.015224655437.42,17,Eco J C de Geus,206.64705882352942,330.7647058823529,2021,
ur.0732505060.44,17,Graham G. Giles,156.2941176470588,258.6470588235294,2021,
ur.01352171051.53,16,Konstantin Strauch,203.0625,210.1875,2019,
ur.010001043302.06,16,Augustine Kong,132.5,234.5625,2018,
ur.0777517431.61,16,Jaakko Tuomilehto,172.6875,215.0,2021,
ur.014514614637.17,16,Melissa C. Southey,162.5625,268.4375,2021,
ur.01077652051.47,16,Philippe Amouyel,196.875,229.1875,2019,
ur.01155553465.69,16,Helen R. Warren,141.0625,231.5625,2021,
ur.012766272254.47,16,Timothy M. Frayling,173.375,287.625,2021,
ur.01302157177.43,16,Niek Verweij,149.6875,179.5625,2021,
ur.01127542415.10,16,Alex W. Hewitt,117.8125,172.875,2021,
ur.016425765167.70,16,Wei Zheng,134.4375,232.0,2021,
ur.015576406233.51,16,Patrik K E Magnusson,292.25,536.25,2021,
ur.01006410206.09,16,Fernando Rivadeneira,233.6875,249.5,2019,
ur.01104742263.37,16,Aarno Palotie,279.5,350.0,2021,
ur.01354003761.82,16,Blair H. Smith,196.9375,288.125,2021,
ur.0742714555.32,16,Pim van der Harst,186.9375,150.875,2021,
ur.01104357207.40,16,Markus Perola,151.375,182.6875,2021,
ur.01300106701.65,16,Patrick T. Ellinor,197.4375,213.5625,2021,
ur.01270311401.64,16,Alexander Teumer,242.75,277.25,2021,
ur.015012714437.80,16,Patrick F. Sullivan,449.625,421.4375,2021,
ur.01272012610.98,15,Antonietta Robino,127.4,237.2,2019,
ur.01070452435.44,15,Todd L. Edwards,114.0,138.33333333333334,2021,
ur.014424006237.85,15,Tim D. Spector,227.33333333333334,489.53333333333336,2021,
ur.012344566157.55,15,Nicholas J. Timpson,131.66666666666666,325.4,2021,
ur.011032430067.08,15,Jie Yao,151.46666666666667,216.86666666666667,2021,
ur.01225441541.34,15,Hilma Holm,109.33333333333333,144.0,2021,
ur.012114463457.52,15,Soumya Raychaudhuri,198.26666666666668,49.53333333333333,2021,
ur.0700374216.54,15,Gardar Sveinbjornsson,89.4,95.53333333333333,2021,
ur.01055762674.33,15,Hermann Brenner,189.66666666666666,278.8,2021,
ur.01146643251.63,15,Ioanna Ntalla,176.46666666666667,255.46666666666667,2021,
ur.01060172311.14,15,James F. Wilson,254.93333333333334,490.4,2021,
ur.01223240773.33,15,Thomas Werge,449.0,473.6666666666667,2021,
ur.01033261006.89,15,Honghuang Lin,192.2,173.33333333333334,2021,
