,id,name,country_name,acronym,grant_id,grant_year,grant_title
81,grid.13097.3c,King's College London,United Kingdom,KCL,WO-2017077326-A1,2016,COMBINATION OF AN INHIBITOR OF PARP WITH AN INHIBITOR OF GSK-3 OR DOT1L
82,grid.239395.7,Beth Israel Deaconess Medical Center,United States,BIDMC,WO-2014113322-A1,2014,SYSTEM AND METHOD FOR IMPROVED CARDIAC IMAGING OF SUBJECTS WITH ADVERSE CARDIAC CONDITIONS
83,grid.13648.38,University Medical Center Hamburg-Eppendorf,Germany,UKE,WO-2017167770-A1,2017,THSD7A AS A NOVEL TARGET FOR CANCER THERAPY AND DIAGNOSIS
84,grid.261356.5,Okayama University,Japan,,WO-2015011604-A1,2014,ASCORBATE TRANSPORTER
85,grid.7497.d,German Cancer Research Center,Germany,DKFZ,WO-2016142533-A1,2016,DNA-METHYLATION BASED METHOD FOR CLASSIFYING TUMOR SPECIES
86,grid.7700.0,Heidelberg University,Germany,,WO-2016142533-A1,2016,DNA-METHYLATION BASED METHOD FOR CLASSIFYING TUMOR SPECIES
87,grid.27235.31,United States Department of Health and Human Services,United States,DHHS,US-10072078-B2,2013,M971 chimeric antigen receptors
88,grid.410484.d,IBM (United States),United States,,US-9668991-B1,2015,SCFA colonic composition
89,grid.13648.38,University Medical Center Hamburg-Eppendorf,Germany,UKE,EP-3225997-A1,2016,THSD7A AS A NOVEL TARGET FOR CANCER THERAPY AND DIAGNOSIS
90,grid.437349.e,University of Minnesota System,United States,,WO-2017062625-A1,2016,METHOD TO DETECT COLON CANCER BY MEANS OF THE MICROBIOME
91,grid.5253.1,University Hospital Heidelberg,Germany,,WO-2018041959-A1,2017,GENE PANEL SPECIFIC FOR PULMONARY HYPERTENSION AND ITS USES
92,grid.7700.0,Heidelberg University,Germany,,WO-2018041959-A1,2017,GENE PANEL SPECIFIC FOR PULMONARY HYPERTENSION AND ITS USES
93,grid.417284.c,Philips (Netherlands),Netherlands,,WO-2018099884-A1,2017,RISK SCORES BASED ON HUMAN PHOSPHODIESTERASE 4D VARIANT 7 EXPRESSION
94,grid.421932.f,UCB Pharma (Belgium),Belgium,,WO-2017211928-A1,2017,ANTI-IgE ANTIBODIES
95,grid.420918.6,Imperial Innovations (United Kingdom),United Kingdom,,WO-2017163030-A3,2017,FLUID FLOW ANALYSIS
96,grid.30389.31,University of California System,United States,,US-9980673-B2,2016,"SEM scanner sensing apparatus, system and methodology for early detection of ulcers"
97,grid.410513.2,Pfizer (United States),United States,Pfizer,US-9545405-B2,2015,"Pyrrolo[2,3-D]pyrimidine derivatives"
98,grid.410513.2,Pfizer (United States),United States,Pfizer,US-9549929-B2,2015,"Pyrrolo[2,3-D]pyrimidine derivatives"
99,grid.28665.3f,Academia Sinica,Taiwan,,US-9982041-B2,2015,Compositions and methods for treatment and detection of cancers
