,id,last_grant_year,total_grants
354,ur.01133243663.61,2023.0,2.0
355,ur.01222435227.61,,
356,ur.0742714555.32,,
357,ur.01220643160.06,2015.0,5.0
358,ur.0743051442.75,2023.0,4.0
359,ur.01120140410.39,2022.0,5.0
360,ur.01034121076.87,2017.0,4.0
361,ur.01166246311.35,2017.0,1.0
362,ur.01104357207.40,2019.0,6.0
363,ur.01153432015.08,2019.0,1.0
364,ur.01347562145.63,2022.0,3.0
365,ur.01051674732.59,2020.0,3.0
366,ur.01354374010.44,2018.0,2.0
367,ur.010416017507.14,2023.0,21.0
368,ur.01267360065.55,2020.0,10.0
369,ur.016023162734.90,,
370,ur.01223240773.33,,1.0
371,ur.01365006302.05,,
372,ur.011517303117.07,2022.0,20.0
373,ur.0624332664.74,2021.0,3.0
374,ur.0756367034.05,,
375,ur.01046422055.08,,
376,ur.0610023545.07,2021.0,2.0
377,ur.01077652051.47,,
378,ur.01117721120.30,2020.0,29.0
379,ur.012120707502.38,2023.0,32.0
380,ur.01015727075.97,2021.0,1.0
381,ur.016350427407.47,,2.0
382,ur.01106432311.84,2020.0,16.0
383,ur.01004117202.37,,
384,ur.0744020556.20,,
385,ur.015301404517.88,2022.0,12.0
386,ur.012151177437.05,2023.0,21.0
387,ur.011026120037.74,2023.0,38.0
388,ur.01220453202.22,2021.0,9.0
389,ur.0576775630.15,2018.0,2.0
390,ur.0756060406.94,2023.0,4.0
391,ur.0671773024.37,2018.0,11.0
392,ur.01047662664.02,,
393,ur.0775651027.78,,
394,ur.0657532321.26,2020.0,2.0
395,ur.01162661543.44,,
396,ur.010700366647.17,2022.0,39.0
397,ur.0743320722.44,2013.0,1.0
398,ur.01342223366.01,,
399,ur.010663343457.34,2019.0,8.0
400,ur.0662466076.36,,
401,ur.01302706715.35,2018.0,3.0
402,ur.01107035267.40,2021.0,23.0
403,ur.0706161564.18,,
404,ur.01072060034.10,2014.0,1.0
405,ur.01337503212.77,2014.0,1.0
406,ur.0607014114.87,,
407,ur.0614320530.12,2020.0,5.0
408,ur.01202171720.20,,
409,ur.01002162132.49,,
410,ur.01355772070.47,2015.0,3.0
411,ur.01150603676.37,,
412,ur.0767670161.16,,
413,ur.01317570303.86,2016.0,10.0
414,ur.0634264377.67,,1.0
415,ur.01221110417.53,2022.0,18.0
416,ur.0712635675.19,,
417,ur.01060302520.08,,
418,ur.0771421022.72,2016.0,1.0
419,ur.016354357071.35,,
420,ur.01331623740.48,,
421,ur.010541512137.94,2010.0,7.0
422,ur.013474104577.09,2023.0,19.0
423,ur.012202026677.65,2002.0,2.0
424,ur.01174445666.11,,
425,ur.014110301753.77,,
426,ur.016016477163.34,,
427,ur.014501363031.16,,
428,ur.0664042013.05,,
429,ur.0611446267.37,2024.0,46.0
430,ur.0763410441.30,2014.0,4.0
431,ur.01300516035.03,,
432,ur.01347020047.71,2021.0,7.0
433,ur.01160545123.53,2020.0,21.0
434,ur.01157661566.11,2021.0,1.0
435,ur.01205455323.64,2018.0,3.0
436,ur.01235071123.27,2023.0,3.0
437,ur.01330734403.13,,
438,ur.01205523707.73,,
439,ur.0661444545.02,,
440,ur.0623451641.96,,
441,ur.0705101106.89,2023.0,19.0
442,ur.01170300726.89,1992.0,1.0
443,ur.01041573706.30,2021.0,3.0
444,ur.014652207777.75,,
445,ur.010075340637.84,2014.0,2.0
446,ur.010452320737.68,2023.0,20.0
447,ur.015356157217.08,2018.0,47.0
448,ur.014374337777.39,,
449,ur.016617734537.91,2020.0,9.0
450,ur.015717270557.78,,
451,ur.016621360067.59,,
452,ur.016151275002.66,,
453,ur.011405001662.87,2022.0,13.0
454,ur.012622674734.73,2023.0,36.0
455,ur.013366447000.98,2022.0,42.0
456,ur.016464406612.95,2020.0,7.0
457,ur.01207753503.50,2023.0,30.0
458,ur.01235162135.10,,
459,ur.0720776104.57,,
460,ur.01007325065.71,2024.0,14.0
461,ur.0625660524.69,2018.0,5.0
462,ur.01020141307.74,2019.0,5.0
463,ur.01266371434.24,2017.0,1.0
464,ur.0745200615.51,2022.0,23.0
465,ur.0721633133.76,,
466,ur.01177403547.78,2018.0,2.0
467,ur.0746623111.51,,
468,ur.01205631542.42,2020.0,3.0
469,ur.01242416310.24,2018.0,5.0
470,ur.01371227760.44,2017.0,2.0
471,ur.01145142653.47,2022.0,7.0
472,ur.01145707302.20,2023.0,41.0
473,ur.01304013052.15,2020.0,6.0
474,ur.01266053113.52,2023.0,20.0
475,ur.011730155577.61,2024.0,33.0
476,ur.013014002502.78,,
477,ur.0772101217.51,,
478,ur.01151275734.45,,
479,ur.01162244006.55,2023.0,2.0
480,ur.016042157133.69,,
481,ur.01230220117.55,2015.0,1.0
482,ur.0607335463.58,2021.0,2.0
483,ur.0764542450.95,2023.0,30.0
484,ur.01043032643.42,,
485,ur.01041051470.29,2024.0,12.0
486,ur.01266050312.40,2022.0,8.0
487,ur.01262217023.77,2013.0,2.0
488,ur.0765074230.63,,
489,ur.01173707176.96,,
490,ur.01060311745.41,2020.0,8.0
491,ur.0734340315.34,2023.0,8.0
492,ur.01275617260.80,,
493,ur.01032525341.30,,
494,ur.01227116422.12,,
495,ur.01043635414.51,,
496,ur.01033315763.32,2021.0,11.0
497,ur.01110104731.70,2011.0,1.0
498,ur.012522367447.42,2021.0,18.0
499,ur.0671077530.05,2023.0,18.0
500,ur.016600715277.63,,
501,ur.0714133215.07,,
502,ur.01274472031.96,2023.0,3.0
503,ur.0657145251.67,2020.0,12.0
504,ur.01114462237.40,2023.0,1.0
505,ur.01357677605.16,,
506,ur.0714264440.15,2021.0,1.0
507,ur.013512014047.87,2019.0,4.0
508,ur.01106754655.50,,
509,ur.01233412672.61,2021.0,8.0
510,ur.01015000422.63,2023.0,5.0
511,ur.0727145700.91,2015.0,4.0
512,ur.0617400773.76,2012.0,1.0
513,ur.01127752143.12,2023.0,46.0
514,ur.01310272040.19,,
515,ur.011253356307.53,,
516,ur.012600555377.86,2022.0,3.0
517,ur.015707704457.56,2022.0,14.0
518,ur.011653475557.88,2019.0,18.0
519,ur.014620326475.28,,
520,ur.0732664524.92,2014.0,1.0
521,ur.01107635252.17,,
522,ur.01107436446.52,,
523,ur.01276523755.34,,
524,ur.01115770721.26,2017.0,1.0
525,ur.0716442347.54,,
526,ur.0620136570.19,2021.0,6.0
527,ur.01150751514.15,2023.0,20.0
528,ur.01110455304.93,2019.0,2.0
529,ur.01333534554.85,,
530,ur.0577752122.01,,
531,ur.012344566157.55,2023.0,11.0
532,ur.01300414276.96,2017.0,1.0
533,ur.012477746136.44,2008.0,1.0
534,ur.016004026214.55,,
535,ur.012253425364.60,,
536,ur.011126100414.29,2016.0,1.0
537,ur.016674701102.75,,
538,ur.014342530100.40,2021.0,8.0
539,ur.01157300743.10,,
540,ur.0631601743.33,,
541,ur.01307135342.00,,
542,ur.0624535160.40,2013.0,1.0
543,ur.01140064416.73,2022.0,2.0
544,ur.01230144105.36,2017.0,4.0
545,ur.01011104615.76,2017.0,8.0
546,ur.0755334151.48,2019.0,14.0
547,ur.01315221535.21,,
548,ur.01167177047.84,2021.0,12.0
549,ur.01046705311.08,,
550,ur.0760555123.64,2016.0,4.0
551,ur.01042253275.85,,
552,ur.01144534551.15,2023.0,24.0
553,ur.0765377607.72,2010.0,3.0
554,ur.01325572134.46,,
555,ur.01104516710.33,2021.0,9.0
556,ur.01173745662.60,,
557,ur.0675136436.15,,
558,ur.0763077514.08,,
559,ur.01016575200.05,,
560,ur.01310017710.74,,
561,ur.01263622305.88,2018.0,10.0
562,ur.01155064273.68,2017.0,4.0
563,ur.01330007603.07,2022.0,4.0
564,ur.01034333505.72,,
565,ur.01077600005.78,,
566,ur.01325332007.59,,
567,ur.01103300673.89,2023.0,13.0
568,ur.01256133462.00,,
569,ur.01142017552.25,,
570,ur.01312451146.19,2022.0,3.0
571,ur.0774636110.09,,
572,ur.01070241414.27,,
573,ur.01170350513.24,,
574,ur.01073352754.87,2002.0,2.0
575,ur.01053774127.23,2013.0,1.0
576,ur.0607771645.44,,
577,ur.0642244565.58,,
578,ur.01335735615.31,2022.0,24.0
579,ur.01253674504.02,,
580,ur.01303323410.18,2021.0,15.0
581,ur.01230014411.44,2023.0,28.0
582,ur.01133144301.00,2021.0,4.0
583,ur.0663762252.36,,
584,ur.016400724047.81,2019.0,2.0
585,ur.014362300302.36,2020.0,2.0
586,ur.0714371637.39,,
587,ur.01003466553.33,2022.0,8.0
588,ur.0712400456.14,2018.0,7.0
589,ur.011107031664.09,,
590,ur.010702522444.60,2020.0,18.0
591,ur.0660210527.50,2023.0,12.0
592,ur.01014226210.16,2024.0,6.0
593,ur.0637373466.80,,
594,ur.01313240102.02,,
595,ur.01023473371.51,,
596,ur.0650417210.95,,
597,ur.01217436350.96,,
598,ur.01240233274.17,2012.0,1.0
599,ur.01237343617.69,2020.0,4.0
600,ur.01225701021.53,2020.0,6.0
601,ur.015131156777.62,,
602,ur.0744721723.19,2014.0,3.0
603,ur.011367065707.90,2023.0,6.0
604,ur.0755436405.55,2022.0,13.0
605,ur.01247663165.54,2017.0,2.0
606,ur.01027352664.02,,
607,ur.015256016612.78,2009.0,3.0
608,ur.01310170137.53,2022.0,10.0
609,ur.01220054741.71,,
610,ur.0655633423.09,,
611,ur.0607606036.45,2022.0,19.0
612,ur.01164404501.34,2023.0,10.0
613,ur.0576014515.12,,
614,ur.01263225337.08,2023.0,5.0
615,ur.01040452443.77,,
616,ur.01317660746.45,2020.0,6.0
617,ur.0740552547.32,,
618,ur.07373714373.74,,
619,ur.016254174407.38,,
620,ur.01221734637.59,2023.0,22.0
621,ur.01013304513.36,2019.0,10.0
622,ur.0660350640.19,2016.0,2.0
623,ur.0607045233.26,2018.0,1.0
624,ur.015043215017.69,2022.0,24.0
625,ur.016661354517.50,2020.0,20.0
626,ur.01322260243.91,,
627,ur.01207662552.39,2021.0,1.0
628,ur.014772144766.03,,
629,ur.013760043547.76,2019.0,1.0
630,ur.013557245567.15,,
631,ur.016120675237.33,2022.0,26.0
632,ur.0661002462.53,,
633,ur.01262170300.25,2010.0,2.0
634,ur.01072063605.26,2019.0,10.0
635,ur.01313052166.05,,
636,ur.01272671604.52,2017.0,1.0
637,ur.0620266371.52,2019.0,1.0
638,ur.0700316214.32,,
639,ur.01014324530.83,2018.0,2.0
640,ur.01177747600.53,,
641,ur.01272473463.54,,
642,ur.014104052415.98,,
643,ur.01346361351.16,,
644,ur.0776022700.87,2023.0,9.0
645,ur.014474476032.82,2018.0,7.0
646,ur.01006673241.52,,
647,ur.016446772157.75,2022.0,22.0
648,ur.01045274562.67,2023.0,32.0
649,ur.0672020421.27,2019.0,1.0
650,ur.01232035241.84,,
651,ur.01275220170.77,,
652,ur.01016157627.69,2023.0,3.0
653,ur.0711430001.54,,
654,ur.016165060366.07,,
655,ur.012516024366.43,,
656,ur.013632405754.68,,
657,ur.015366710405.54,,
658,ur.0716646162.83,2023.0,11.0
659,ur.01215526415.55,2021.0,14.0
660,ur.01150647147.79,,
661,ur.01056010055.08,,
662,ur.01013762020.04,,
663,ur.01334675114.72,,
664,ur.0674747100.57,2017.0,8.0
665,ur.0761005474.77,2022.0,15.0
666,ur.01074650154.25,,
667,ur.01143574237.24,2023.0,1.0
668,ur.01252313105.37,,
669,ur.01043744667.67,,
670,ur.01355755622.50,2019.0,3.0
671,ur.0610550316.44,,
672,ur.01224407762.64,2019.0,9.0
673,ur.0671073025.86,2023.0,21.0
674,ur.01351041437.40,2020.0,3.0
675,ur.01270001061.21,2022.0,2.0
676,ur.01024612701.33,2023.0,9.0
677,ur.01357746643.85,,
678,ur.0664060255.24,2015.0,1.0
679,ur.01250423661.24,2021.0,5.0
680,ur.01251165601.38,,
681,ur.01020471101.38,2019.0,6.0
682,ur.01032126143.12,2023.0,7.0
683,ur.01201362637.02,2021.0,4.0
684,ur.01230632011.15,,
