,aff_city,aff_city_id,aff_country,aff_country_code,aff_id,aff_name,aff_state,aff_state_code,id,researcher_id,first_name,last_name
115,Tokyo,1850147.0,Japan,JP,grid.26999.3d,University of Tokyo,,,pub.1111605533,,T.,Hiramoto
116,Tokyo,1850147.0,Japan,JP,grid.412785.d,Tokyo University of Marine Science and Technology,,,pub.1111635485,ur.011304263045.45,Koichi,Suyama
117,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1111635485,ur.010647607673.28,Noboru,Sebe
118,Al Mansurah,360761.0,Egypt,EG,grid.10251.37,Mansoura University,,,pub.1109797317,ur.012736434657.27,Mohamed Gar,Alalm
119,Al Mansurah,360761.0,Egypt,EG,grid.10251.37,Mansoura University,,,pub.1109797317,,Mahmoud,Samy
120,Tokyo,1850147.0,Japan,JP,grid.32197.3e,Tokyo Institute of Technology,,,pub.1109797317,ur.011147075017.07,Shinichi,Ookawara
121,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1109797317,ur.014403617266.16,Teruhisa,Ohno
122,Seri Kembangan,,Malaysia,MY,grid.11142.37,Universiti Putra Malaysia,,,pub.1107841386,,Zamzuri,Zabidin
123,Seri Kembangan,,Malaysia,MY,grid.11142.37,Universiti Putra Malaysia,,,pub.1107841386,ur.013371070721.03,Farah Nadia,Omar
124,Seri Kembangan,,Malaysia,MY,grid.11142.37,Universiti Putra Malaysia,,,pub.1107841386,ur.0721055631.37,Halimatun Saadiah,Hafid
125,Seri Kembangan,,Malaysia,MY,grid.11142.37,Universiti Putra Malaysia,,,pub.1107841386,ur.012764555002.04,Noor Seribainun Hidayah Md,Yunos
126,Seri Kembangan,,Malaysia,MY,grid.11142.37,Universiti Putra Malaysia,,,pub.1107841386,ur.013277424103.05,Mohd Afandi P.,Mohammed
127,Seri Kembangan,,Malaysia,MY,grid.11142.37,Universiti Putra Malaysia,,,pub.1107841386,ur.013020662311.45,Azhari Samsu,Baharuddin
128,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1107841386,,Taku,Omura
129,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1107841386,ur.01145375305.09,Minato,Wakisaka
130,Kitakyushu,1859307.0,Japan,JP,grid.271052.3,University of Occupational and Environmental Health Japan,,,pub.1107969659,ur.01066216322.42,Issei,Ueda
131,Kitakyushu,1859307.0,Japan,JP,grid.271052.3,University of Occupational and Environmental Health Japan,,,pub.1107969659,ur.01114434623.53,Shingo,Kakeda
132,Kitakyushu,1859307.0,Japan,JP,grid.271052.3,University of Occupational and Environmental Health Japan,,,pub.1107969659,ur.01117244134.54,Keita,Watanabe
133,Kitakyushu,1859307.0,Japan,JP,grid.271052.3,University of Occupational and Environmental Health Japan,,,pub.1107969659,ur.013317707474.35,Koichiro,Sugimoto
134,Kitakyushu,1859307.0,Japan,JP,grid.271052.3,University of Occupational and Environmental Health Japan,,,pub.1107969659,ur.07470552351.93,Natsuki,Igata
135,Kitakyushu,1859307.0,Japan,JP,grid.271052.3,University of Occupational and Environmental Health Japan,,,pub.1107969659,ur.01372524114.58,Junji,Moriya
136,Kitakyushu,1859307.0,Japan,JP,grid.258806.1,Kyushu Institute of Technology,,,pub.1107969659,ur.01363435554.47,Kazuhiro,Takemoto
137,Kitakyushu,1859307.0,Japan,JP,grid.271052.3,University of Occupational and Environmental Health Japan,,,pub.1107969659,ur.01134361675.06,Asuka,Katsuki
