id,first_name,total_publications,research_orgs,last_name,current_research_org.id,current_research_org.acronym,name,country,orcid_id,full_name
ur.015660671413.54,Holger,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Leonards,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Holger Leonards
ur.013165263521.05,S,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Pflüger,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,S Pflüger
ur.014117401233.05,Stefan,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Mann,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Stefan Mann
ur.012227210613.14,Mario,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Isermann,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Mario Isermann
ur.013333527704.41,Udo,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Wolff,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Udo Wolff
ur.011326655423.69,Marcus,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Hamann,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Marcus Hamann
ur.013753635516.18,Andre,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Palmen,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Andre Palmen
ur.012411410326.29,Ludger,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Bosse,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Ludger Bosse
ur.012041213254.63,Christian,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Tenbrock,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Christian Tenbrock
ur.0656000060.45,Martinus,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}]",De Kanter,grid.1957.a,RWTH,RWTH Aachen University,Germany,empty,Martinus De Kanter
ur.014160431067.77,Rudolph,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Meyer,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Rudolph Meyer
ur.016671703612.27,Bernhard,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}]",Ollier,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Bernhard Ollier
ur.012715016763.26,Christian,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Nüsser,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Christian Nüsser
ur.012526725303.26,H,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Oebels,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,H Oebels
ur.010102523207.60,Raphael,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Rolser,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Raphael Rolser
ur.010542605434.62,W,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Nöldechen,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,W Nöldechen
ur.016144157116.04,Henrik,3,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Staub,grid.461628.f,ILT,Fraunhofer Institute for Laser Technology,Germany,empty,Henrik Staub
